#FOSTER:	So Erasmus laid the the- --	laid the egg,
laid the egg,	which Luther hatched.
as Erasmus comes to this,	he's going to say,
he's going to say,	(H) well let's look at the Scriptures.
(H) well let's look at the Scriptures.	... (TSK) Now,
... (TSK) Now,	.. number one,
.. number one,	we have to admit first- --
we have to admit first- --	.. v- first off,
.. v- first off,	(H) that there see=m to be passages,
(H) that there see=m to be passages,	there are passages in the Scriptures,
there are passages in the Scriptures,	.. are there not?
.. are there not?	(H) (THROAT) Many.
(H) (THROAT) Many.	.. Which see=m to teach,
.. Which see=m to teach,	that ma=n is responsible for his deeds,
that ma=n is responsible for his deeds,	and that he may act,
and that he may act,	and has a free will to respond to the invitation of God.
and has a free will to respond to the invitation of God.	(H) Isn't that clear in the Scriptures?
(H) Isn't that clear in the Scriptures?	(H) Whosoever wi=ll may come.
(H) Whosoever wi=ll may come.	... Um,
... Um,	.. Jesus turned to his disciples,
.. Jesus turned to his disciples,	you remember,
you remember,	when some deserted him,
when some deserted him,	and .. seemed,
and .. seemed,	because they were disappointed in .. some of his sayings,
because they were disappointed in .. some of his sayings,	(H) and they were offended by some of the things he said,
(H) and they were offended by some of the things he said,	(H) ... and they walked no longer with him it said.
(H) ... and they walked no longer with him it said.	... (TSK) And then he turned to those who remained,
... (TSK) And then he turned to those who remained,	and he said,
and he said,	<Q Will ye also go away Q>?
<Q Will ye also go away Q>?	... They had a choice.
... They had a choice.	Didn't they?
Didn't they?	... Will you go away.
... Will you go away.	.. What do you will.
.. What do you will.	(H) .. And the will,
(H) .. And the will,	.. apparently was,
.. apparently was,	re- resided in .. in these disciples.
re- resided in .. in these disciples.	(H) And so Erasmus is going to say,
(H) And so Erasmus is going to say,	so obviously,
so obviously,	in Scripture we ha=ve .. paradox.
in Scripture we ha=ve .. paradox.	... We have clea=r passages of Scripture,
... We have clea=r passages of Scripture,	(H) which seem to indicate that ma=n .. <<POUND +has a +free will,
(H) which seem to indicate that ma=n .. <<POUND +has a +free will,	.. and that he can +exercise POUND>> that will,
.. and that he can +exercise POUND>> that will,	.. to follow,
.. to follow,	or not to follow.
or not to follow.	(H) To respond or not to respond.
(H) To respond or not to respond.	(H) On the other hand,
(H) On the other hand,	(H) we have passages of Scripture,
(H) we have passages of Scripture,	(H) which .. seem to indicate,
(H) which .. seem to indicate,	... that the will is not free,
... that the will is not free,	... and that the-,
... and that the-,	and that man i- th- is- --
and that man i- th- is- --	man is predestined .. by a .. an omnipotent sovereign will of God.
man is predestined .. by a .. an omnipotent sovereign will of God.	(H) ... We have to take both these pass- --
(H) ... We have to take both these pass- --	So it's not a question of the Scriptural authority.
So it's not a question of the Scriptural authority.	..  We both accept the scriptural authority.
..  We both accept the scriptural authority.	And Erasmus in his writings,
And Erasmus in his writings,	and in his pamphlet the Liber Arbetrio,
and in his pamphlet the Liber Arbetrio,	in his pamphlet the Liber Arbetrio,
in his pamphlet the Liber Arbetrio,	says to Luther,
says to Luther,	qu- because it is addressed to Luther you see,
qu- because it is addressed to Luther you see,	(H) he says to Luther,
(H) he says to Luther,	(H) uh,
(H) uh,	I will not church --
I will not church --	.. I will not .. question,
.. I will not .. question,	or I not --
or I not --	I will not quote.
I will not quote.	I will not quote the Church Fathers to you,
I will not quote the Church Fathers to you,	(H) because I understand you accept <@ no Church Father authority,
(H) because I understand you accept <@ no Church Father authority,	(H) if it is in disagreement with your opinion @>.  
(H) if it is in disagreement with your opinion @>.  	(H) So I will quote the only authority that you recognize,
(H) So I will quote the only authority that you recognize,	.. The Holy Scriptures.
.. The Holy Scriptures.	... (TSK) And so,
... (TSK) And so,	.. uh,
.. uh,	exclusively Erasmus will appeal to the Scriptures,
exclusively Erasmus will appeal to the Scriptures,	as his basis.
as his basis.	(H) When God created Adam and Eve in the garden,
(H) When God created Adam and Eve in the garden,	he placed them in the garden,
he placed them in the garden,	and he said you have a choice.
and he said you have a choice.	(H)= Uh=,
(H)= Uh=,	you have a choice.
you have a choice.	Do not eat of the fruit of the knowledge of the good- --
Do not eat of the fruit of the knowledge of the good- --	of the tree of good and evil,
of the tree of good and evil,	for on the day ye eat thereof,
for on the day ye eat thereof,	ye shall surely die.
ye shall surely die.	.. Now=,
.. Now=,	do not do that,
do not do that,	.. and obviously Go=d m=ust have given,
.. and obviously Go=d m=ust have given,	the first (H) created pair,
the first (H) created pair,	(H) a choice.
(H) a choice.	Because the whole (H) system .. of reward or punishment,
Because the whole (H) system .. of reward or punishment,	.. is based upon the decision which is .. these individuals made.
.. is based upon the decision which is .. these individuals made.	Or=,
Or=,	(H) when Cai=n slew Abel.
(H) when Cai=n slew Abel.	(H)= (TSK) U=m,
(H)= (TSK) U=m,	.. if you do we=ll?
.. if you do we=ll?	.. Shall you not be s- sustained?
.. Shall you not be s- sustained?	But if you do evil?
But if you do evil?	(H) Sin .. crouches at the door.
(H) Sin .. crouches at the door.	... If you do well.
... If you do well.	... Apparently,
... Apparently,	from this,
from this,	... Cain .. had the ability,
... Cain .. had the ability,	.. even after the mur- --
.. even after the mur- --	0.000000e+00ven after the murder of Abel,
0.000000e+00ven after the murder of Abel,	(H) he had the ab=ility,
(H) he had the ab=ility,	(H) to make a positive choice.
(H) to make a positive choice.	.. According to Erasmus.
.. According to Erasmus.	That's going to be his position.
That's going to be his position.	(H) Well Luther,
(H) Well Luther,	.. (TSK) um,
.. (TSK) um,	.. I'll g- I'll I'll tell- say some of the things that he he picked first,
.. I'll g- I'll I'll tell- say some of the things that he he picked first,	Erasmus picked first,
Erasmus picked first,	(H) and um,
(H) and um,	.. he's gonna go all through the Scriptures,
.. he's gonna go all through the Scriptures,	and he's gonna take passages like this,
and he's gonna take passages like this,	(H) um,
(H) um,	... (TSK) return return the prophets said,
... (TSK) return return the prophets said,	did they not to ancient Israel.
did they not to ancient Israel.	Return to the God of the covenant,
Return to the God of the covenant,	return (H) Hosea pleads with Gomer,
return (H) Hosea pleads with Gomer,	.. please come back .. t_you see.
.. please come back .. t_you see.	(H) And uh,
(H) And uh,	this is the symbol of Israel,
this is the symbol of Israel,	come back to the Lord,
come back to the Lord,	(H) come back to the= the husband of the covenant,
(H) come back to the= the husband of the covenant,	come back to= the one who called you and summoned you,
come back to= the one who called you and summoned you,	(H) it's the- --
(H) it's the- --	Erasmus says the whole premise is,
Erasmus says the whole premise is,	(H) that you have a- an ability,
(H) that you have a- an ability,	to return.
to return.	That you can make up your mi=nd,
That you can make up your mi=nd,	(H) to change the course that you're now taking.
(H) to change the course that you're now taking.	(H) And that you can .. go this way,
(H) And that you can .. go this way,	.. or you can go that way.
.. or you can go that way.	(H) And uh,
(H) And uh,	.. then there are other arguments which are,
.. then there are other arguments which are,	(H) uh,
(H) uh,	.. here's uh,
.. here's uh,	here's one on um,
here's one on um,	I'll read an excerpt,
I'll read an excerpt,	... in this uh,
... in this uh,	in this little book,
in this little book,	this is the um,
this is the um,	.. the actual uh,
.. the actual uh,	... wr- writings of the s- f- .. freedom of the will,
... wr- writings of the s- f- .. freedom of the will,	(H) .. here's he .. he uses Ecclesiastes.
(H) .. here's he .. he uses Ecclesiastes.	... God,
... God,	and this is a quote,
and this is a quote,	(H) from the b- --
(H) from the b- --	.. from the book.
.. from the book.	(H) <READ God made man from the beginning,
(H) <READ God made man from the beginning,	.. (H) and left him in the hand of his own counsel.
.. (H) and left him in the hand of his own counsel.	... (TSK) He added his commandments,
... (TSK) He added his commandments,	... (H) and .. precepts.
... (H) and .. precepts.	...  If thou would keep the commandments,
...  If thou would keep the commandments,	.. and perform acceptable .. fidelity forever,
.. and perform acceptable .. fidelity forever,	(H) .. they shall .. preserve thee.
(H) .. they shall .. preserve thee.	... He hath set w- --
... He hath set w- --	he hath set water and fire before thee.
he hath set water and fire before thee.	... Stretch forth thy hand,
... Stretch forth thy hand,	(H) to which thou wilt.
(H) to which thou wilt.	(H) ... Before man is life and death.
(H) ... Before man is life and death.	... Good and evil.
... Good and evil.	... That which he shall choose,
... That which he shall choose,	(H) shall be given him READ>.
(H) shall be given him READ>.	... Choose.
... Choose.	... (H) So Erasmus's argument is,
... (H) So Erasmus's argument is,	.. you have a right to choose.
.. you have a right to choose.	You can choose.
You can choose.	(H) And therefore if you can choose,
(H) And therefore if you can choose,	this presupposes ... (TSK) that you have a free will.
this presupposes ... (TSK) that you have a free will.	(H) In any rate,
(H) In any rate,	... if .. man is,
... if .. man is,	... uh,
... uh,	if there is a necessity in man's action.
if there is a necessity in man's action.	If he is pre=determined to sin.
If he is pre=determined to sin.	(H) .. If .. if God has already determined,
(H) .. If .. if God has already determined,	(H) that this person .. commits these acts.
(H) that this person .. commits these acts.	(H) Then .. there can be no responsibility on the part of the actor.
(H) Then .. there can be no responsibility on the part of the actor.	(H) On the part of the perpetrator.
(H) On the part of the perpetrator.	Because how can a person be held responsible (H) for deeds,
Because how can a person be held responsible (H) for deeds,	(H) which he does,
(H) which he does,	.. if he= 0mself did not will those,
.. if he= 0mself did not will those,	the- f- --
the- f- --	if,
if,	in other words,
in other words,	he may will those deeds,
he may will those deeds,	but those --
but those --	th- those deeds were imposed upon his will by a transcendent force.
th- those deeds were imposed upon his will by a transcendent force.	(H)= If that is the case,
(H)= If that is the case,	then there is really no freedom of the will.
then there is really no freedom of the will.	(H) And if uh=,
(H) And if uh=,	in that case,
in that case,	therefore,
therefore,	a person cannot be responsible for his deeds,
a person cannot be responsible for his deeds,	(H) if the deeds which he commits,
(H) if the deeds which he commits,	have already been eternally foreordained.
have already been eternally foreordained.	.. (SNIFF) This is uh=,
.. (SNIFF) This is uh=,	this is going to be then Erasmus's argument,
this is going to be then Erasmus's argument,	ag- on this qu- on this question of the freedom of the will.
ag- on this qu- on this question of the freedom of the will.	(H) But uh=,
(H) But uh=,	.. uh,
.. uh,	(H) .. we'll .. look at another couple p- uh of his passages.
(H) .. we'll .. look at another couple p- uh of his passages.	If,
If,	.. here it is.
.. here it is.	<READ If the will  .. were not free,
<READ If the will  .. were not free,	... (H) sin could not be attributed to man.
... (H) sin could not be attributed to man.	... (TSK) It ceases to be sin.
... (TSK) It ceases to be sin.	... If it is not voluntary.
... If it is not voluntary.	.. (H) Free wi=ll is not extinct.
.. (H) Free wi=ll is not extinct.	... Though it has contracted a paralysis READ>.
... Though it has contracted a paralysis READ>.	... (SNIFF) ... (H) How is it paralyzed.
... (SNIFF) ... (H) How is it paralyzed.	Well it's paralyzed by the fall.
Well it's paralyzed by the fall.	... See we all= .. participate in the Adamic nature.
... See we all= .. participate in the Adamic nature.	... (TSK) (H) A=nd this Adamic nature,
... (TSK) (H) A=nd this Adamic nature,	.. uh,
.. uh,	when Adam=,
when Adam=,	.. in Adam=,
.. in Adam=,	remember the New Eng- .. New England primer,
remember the New Eng- .. New England primer,	<Q in Adam's fall,
<Q in Adam's fall,	we sinned all Q>.
we sinned all Q>.	(SNIFF)= So=,
(SNIFF)= So=,	this Adamic nature has been,
this Adamic nature has been,	.. has been passed on to all generation=s of humans.
.. has been passed on to all generation=s of humans.	(H) And so therefore while we --
(H) And so therefore while we --	(H) we have a free will,
(H) we have a free will,	it is --
it is --	it is paralyzed.
it is paralyzed.	.. It's not the will .. that was there.
.. It's not the will .. that was there.	.. (H) It's not the will,
.. (H) It's not the will,	... that uh,
... that uh,	... that Adam had.
... that Adam had.	... Because .. it no longer .. has the freedom .. that Adam had.
... Because .. it no longer .. has the freedom .. that Adam had.	It is cursed by sin.
It is cursed by sin.	It is under the curse of sin.
It is under the curse of sin.	(H) So the human will,
(H) So the human will,	somehow,
somehow,	is paralyzed.
is paralyzed.	(H) ... Uh Erasmus admits that.
(H) ... Uh Erasmus admits that.	(H) And then,
(H) And then,	Erasmus will say,
Erasmus will say,	that um,
that um,	... (TSK) (H) God then enables.
... (TSK) (H) God then enables.	What God does,
What God does,	and this will be the C- really the modern Catholic view.
and this will be the C- really the modern Catholic view.	(H) That God will provide a prevenient grace.
(H) That God will provide a prevenient grace.	... A prevenient grace.
... A prevenient grace.	That is in other words,
That is in other words,	even though I am unwilling to accept the gift of salvation,
even though I am unwilling to accept the gift of salvation,	you see,
you see,	(H) that um,
(H) that um,	... that God will give me a prevenient grace,
... that God will give me a prevenient grace,	(H) which will .. enable me,
(H) which will .. enable me,	.. to move toward .. this salvation.
.. to move toward .. this salvation.	... (TSK) (H) And if I then respo=nd.
... (TSK) (H) And if I then respo=nd.	.. positively.
.. positively.	(H) .. To the gift of God,
(H) .. To the gift of God,	(H) then .. God will extend .. the exemplary grace to me,
(H) then .. God will extend .. the exemplary grace to me,	.. which enables me ... to acquire salvation.
.. which enables me ... to acquire salvation.	(H) So prevenient grace,
(H) So prevenient grace,	will put you on the path.
will put you on the path.	(H) ... If you respond on the path,
(H) ... If you respond on the path,	(H) then God extends the exemplary grace,
(H) then God extends the exemplary grace,	(H) which will lead you home.
(H) which will lead you home.	(H) He uses a little= story.
(H) He uses a little= story.	... A little .. uh .. uh .. allegory.
... A little .. uh .. uh .. allegory.	.. Or figure I guess.
.. Or figure I guess.	(H) ... (TSK) Uh there uh there's a n-  (Hx) --
(H) ... (TSK) Uh there uh there's a n-  (Hx) --	... there's a tot,
... there's a tot,	.. a toddler.
.. a toddler.	... (H) .. (TSK) Uh,
... (H) .. (TSK) Uh,	... but he's got to be %- .. big enough to a=ppreciate apples.
... but he's got to be %- .. big enough to a=ppreciate apples.	.. Okay?
.. Okay?	@@ <@ Because,
@@ <@ Because,	@@ his,
@@ his,	(H) alright,
(H) alright,	@ because that's the,
@ because that's the,	that's part of the story @>.
that's part of the story @>.	(H) There a .. nice .. shiny .. apple.
(H) There a .. nice .. shiny .. apple.	.. Over here.
.. Over here.	... (TSK) (H) .. Over here,
... (TSK) (H) .. Over here,	you see.
you see.	... And this .. little .. tot,
... And this .. little .. tot,	... he sees the apple.
... he sees the apple.	(TSK) (H) ... A=nd he uh=,
(TSK) (H) ... A=nd he uh=,	.. he needs,
.. he needs,	.. he wants to get to this apple.
.. he wants to get to this apple.	... (H) U=m,
... (H) U=m,	... so he starts ... in the direction of the apple.
... so he starts ... in the direction of the apple.	But he's very unsteady.
But he's very unsteady.	He wavers.
He wavers.	You see,
You see,	and he's not,
and he's not,	(H) so,
(H) so,	what .. is the prevenient grace.
what .. is the prevenient grace.	The prevenient grace is the adult,
The prevenient grace is the adult,	(H) which .. doesn't .. take him .. to the apple,
(H) which .. doesn't .. take him .. to the apple,	.. doesn't lift him up and put him next to the apple,
.. doesn't lift him up and put him next to the apple,	(H) b- but ...% ... goes along with him,
(H) b- but ...% ... goes along with him,	just guiding him,
just guiding him,	making sure that he .. he doesn't fall,
making sure that he .. he doesn't fall,	(H) he just,
(H) he just,	.. he lets hi=m get there. 
.. he lets hi=m get there. 	(H) .. But .. he just .. more or less,
(H) .. But .. he just .. more or less,	(H) supports or sustains the little tot,
(H) supports or sustains the little tot,	in his motion .. toward the apple.
in his motion .. toward the apple.	(H) So the little tot you see,
(H) So the little tot you see,	... (TSK) Has decided he wants the apple.
... (TSK) Has decided he wants the apple.	Once he sees it,
Once he sees it,	(H) .. uh,
(H) .. uh,	then he=,
then he=,	he moves toward it.
he moves toward it.	(H) Prevenient grace assists him .. toward that apple.
(H) Prevenient grace assists him .. toward that apple.	(H) It doesn't,
(H) It doesn't,	.. as I said,
.. as I said,	it doesn't carry him there,
it doesn't carry him there,	(H) it doesn't .. go get the apple and bring it to him,
(H) it doesn't .. go get the apple and bring it to him,	(H) he must go to the apple.
(H) he must go to the apple.	But he goes= sustained by this prevenient grace.
But he goes= sustained by this prevenient grace.	And then,
And then,	(H) if he,
(H) if he,	(H) .. if he half way to the apple,
(H) .. if he half way to the apple,	if he decides he doesn't want it,
if he decides he doesn't want it,	... if he .. if he sees something he th- considers more attractive,
... if he .. if he sees something he th- considers more attractive,	.. and he goes off on a tangent,
.. and he goes off on a tangent,	or goes off in a different direction,
or goes off in a different direction,	(H) then you see,
(H) then you see,	.. then his wi=ll has decided that he does not want to cooperate.
.. then his wi=ll has decided that he does not want to cooperate.	... With prevenient grace.
... With prevenient grace.	(H)= Luther hated that word cooperation.
(H)= Luther hated that word cooperation.	W- particularly in connection with grace.
W- particularly in connection with grace.	.. (H) Now Luther's position is,
.. (H) Now Luther's position is,	.. we are dead ... in trespasses and sin.
.. we are dead ... in trespasses and sin.	(H) You see.
(H) You see.	.. There is (H) nothing (H) that can .. come to us,
.. There is (H) nothing (H) that can .. come to us,	you see now Luther came to his reformation remember,
you see now Luther came to his reformation remember,	(H) with this fear of the righteousness of God.
(H) with this fear of the righteousness of God.	(H)= The righteousness of God.
(H)= The righteousness of God.	And Luther all through his monastic life,
And Luther all through his monastic life,	up until around fifteen fifteen,
up until around fifteen fifteen,	is probably when he made that tower discovery.
is probably when he made that tower discovery.	.. (H) That so-called <L2 Turmerlebnis L2>.
.. (H) That so-called <L2 Turmerlebnis L2>.	(H) The= tower experience.
(H) The= tower experience.	... (TSK) Where reading in Romans one seventeen,
... (TSK) Where reading in Romans one seventeen,	... he read,
... he read,	(H) you know,
(H) you know,	... (THROAT) ... the j- the just .. shall live by faith,
... (THROAT) ... the j- the just .. shall live by faith,	well,
well,	.. you have to take rea- really read Romans one sixteen first.
.. you have to take rea- really read Romans one sixteen first.	... (H) (TSK) U=m,
... (H) (TSK) U=m,	.. <READ I am not ashamed of the Gospel of Jesus Christ.
.. <READ I am not ashamed of the Gospel of Jesus Christ.	.. (H) .. For it is the power of God onto salvation.
.. (H) .. For it is the power of God onto salvation.	... To everyone that believeth,
... To everyone that believeth,	.. (H) to the Jew first,
.. (H) to the Jew first,	... and also to the Greek.
... and also to the Greek.	(H)= For therein READ>,
(H)= For therein READ>,	... therein,
... therein,	it can only refer grammatically to Gospel,
it can only refer grammatically to Gospel,	you see.
you see.	(H) <READ I am not ashamed of the Gospel.
(H) <READ I am not ashamed of the Gospel.	(H) For therein.
(H) For therein.	(H) Is the righteousness of Go=d revealed.
(H) Is the righteousness of Go=d revealed.	... As it is written.
... As it is written.	... <MRC The just .. shall live .. by faith MRC>READ>.
... <MRC The just .. shall live .. by faith MRC>READ>.	... A=nd,
... A=nd,	when he discovered this,
when he discovered this,	he had read this a hundred times.
he had read this a hundred times.	.. But this one time when he read it,
.. But this one time when he read it,	(H) he said,
(H) he said,	... suddenly it dawned on him.
... suddenly it dawned on him.	... What this meant.
... What this meant.	... <Q And this place in Pau=l Q>,
... <Q And this place in Pau=l Q>,	Luther said,
Luther said,	<Q Became for me,
<Q Became for me,	(H) the gate of paradise Q>.
