SETH:	... Excuse me.	>ENV:	... ((DOG_BARKING_BEGINS))
>ENV:	... ((DOG_BARKING_BEGINS))	LARRY:	... Hey,
SETH:	                           [2Wow2].	LARRY:	.. do you have a flashlight on you?
LARRY:	.. do you have a flashlight on you?	SETH:	Sure do.
SETH:	Sure do.	LARRY:	<X Yeah X>.
LARRY:	<X Yeah X>.	SETH:	... So,
SETH:	... So,	.. <X then you X> get duct work?
.. <X then you X> get duct work?	.. Or [is this the flue].
.. Or [is this the flue].	LARRY:	      [We=ll,
LARRY:	      [We=ll,	yeah].
yeah].	.. [2What they did,
.. [2What they did,	SETH:	   [2That's the flue I guess2].
SETH:	   [2That's the flue I guess2].	LARRY:	they they2] took the stubs,
LARRY:	they they2] took the stubs,	and they cleaned em up (Hx).
and they cleaned em up (Hx).	.. (H) So you can tie right into em.
.. (H) So you can tie right into em.	See?
See?	SETH:	... Yeah.
SETH:	... Yeah.	... So this used to have asbestos.
... So this used to have asbestos.	Hunh?
Hunh?	LARRY:	Yeah.
LARRY:	Yeah.	SETH:	Where did all this connect?
SETH:	Where did all this connect?	Was there a (H)[a] plenum on top of here?
Was there a (H)[a] plenum on top of here?	LARRY:	               [So],
LARRY:	               [So],	... Yeah.
... Yeah.	There was a bi=g hood that went over the top of this thing,
There was a bi=g hood that went over the top of this thing,	with these (H) stack that [went this] way,
with these (H) stack that [went this] way,	SETH:	                          [Okay].
SETH:	                          [Okay].	Yeah like an [2octopus type2].
Yeah like an [2octopus type2].	LARRY:	             [2and then one that goes2] back,
LARRY:	             [2and then one that goes2] back,	un- underneath there to the --
un- underneath there to the --	.. (H) to the= uh= .. kitchen,
.. (H) to the= uh= .. kitchen,	... there are- there are different --
... there are- there are different --	.. there are different ones,
.. there are different ones,	that kinda go all the way up.
that kinda go all the way up.	SETH:	... I see one r-,
SETH:	... I see one r-,	there's a rectang[ular one] right there,
there's a rectang[ular one] right there,	LARRY:	                 [Yeah].
LARRY:	                 [Yeah].	SETH:	... is that one right there,
SETH:	... is that one right there,	w- that I'm flashing my light on?
w- that I'm flashing my light on?	LARRY:	%Yeah=,
LARRY:	%Yeah=,	it might be (Hx).
it might be (Hx).	.. %It kinda looks like it.
.. %It kinda looks like it.	And then there was --
And then there was --	there's one farther up,
there's one farther up,	... (H) and then there is this <<THUMP +one +here THUMP>>.
... (H) and then there is this <<THUMP +one +here THUMP>>.	SETH:	... So you <X have X> one two three=,
SETH:	... So you <X have X> one two three=,	... (H) ... at least .. [two there],
... (H) ... at least .. [two there],	LARRY:	                        [Three],
LARRY:	                        [Three],	and then there's another one .. way down.
and then there's another one .. way down.	.. (H) I don't know if you can see it or not,
.. (H) I don't know if you can see it or not,	.. but it's --
.. but it's --	... it's up into the kitchen.
... it's up into the kitchen.	SETH:	... So there's probably three back there?
SETH:	... So there's probably three back there?	(H) and a- --
(H) and a- --	and any over on this side?
and any over on this side?	LARRY:	... Well,
LARRY:	... Well,	... (H) no but,
... (H) no but,	.. what- what we --
.. what- what we --	.. we want to p- you to .. kinda give us an idea,
.. we want to p- you to .. kinda give us an idea,	on a- w- what your [thoughts are].
on a- w- what your [thoughts are].	SETH:	                   [You wanna add a c-] --
SETH:	                   [You wanna add a c-] --	.. add a few more?
.. add a few more?	LARRY:	Add a couple.
LARRY:	Add a couple.	Yeah.
Yeah.	... Back,
... Back,	ee way back there?
ee way back there?	.. Is that one way back?
.. Is that one way back?	... <X Can't see it X>.
... <X Can't see it X>.	SETH:	... XX .. [get this thing],
SETH:	... XX .. [get this thing],	LARRY:	          [<X To help X>] --
LARRY:	          [<X To help X>] --	SETH:	.. to [2a point2].
SETH:	.. to [2a point2].	LARRY:	      [2I don't know2] what this was,
LARRY:	      [2I don't know2] what this was,	looks like they --
looks like they --	SETH:	That was connected to one of em.
SETH:	That was connected to one of em.	LARRY:	.. Yeah.
LARRY:	.. Yeah.	They left that here.
They left that here.	SETH:	... I don't see any back in here,
SETH:	... I don't see any back in here,	but,
but,	LARRY:	.. (H) Well there's there's definitely one back there.
LARRY:	.. (H) Well there's there's definitely one back there.	... (H) Now there's nothing out here,
... (H) Now there's nothing out here,	and this is where we feel we ... we should add one.
and this is where we feel we ... we should add one.	.. (H) Is,
.. (H) Is,	.. this is a,
.. this is a,	.. gonna be a dining room.
.. gonna be a dining room.	SETH:	... [okay].
SETH:	... [okay].	LARRY:	    [So],
LARRY:	    [So],	... (H) uh=,
... (H) uh=,	one for- --
one for- --	one .. there .. for [sure].
one .. there .. for [sure].	SETH:	                    [What abou=t],
SETH:	                    [What abou=t],	.. uh=,
.. uh=,	.. what about above this section of the house.
.. what about above this section of the house.	LARRY:	... Well,
LARRY:	... Well,	... let me show you that.
... let me show you that.	And you can give --
And you can give --	you can give me some idea about that as [well].
you can give me some idea about that as [well].	SETH:	                                        [Now] uh,
SETH:	                                        [Now] uh,	.. you are on propane?
.. you are on propane?	... [out here]?
... [out here]?	LARRY:	    [No].
LARRY:	    [No].	.. This is natural gas.
.. This is natural gas.	SETH:	Oh really.
SETH:	Oh really.	LARRY:	.. Yeah.
LARRY:	.. Yeah.	SETH:	.. Oh good.
SETH:	.. Oh good.	LARRY:	.. Kinda rare.
LARRY:	.. Kinda rare.	SETH:	.. That's good,
SETH:	.. That's good,	because uh,
because uh,	.. the problem with propane is that,
.. the problem with propane is that,	they wouldn't be able to v- --
they wouldn't be able to v- --	.. (H) the co- --
.. (H) the co- --	.. the county would probably have a problem with it.
.. the county would probably have a problem with it.	LARRY:	... [Yeah].
LARRY:	... [Yeah].	SETH:	    [Cause they're] very concerned about propane.
SETH:	    [Cause they're] very concerned about propane.	But natural gas,
But natural gas,	I can put [a (H)] --
I can put [a (H)] --	LARRY:	          [Yeah.
LARRY:	          [Yeah.	we were] real happy to get this place with natural gas.
we were] real happy to get this place with natural gas.	SETH:	.. [Do you] want me to remove the old furnace.
SETH:	.. [Do you] want me to remove the old furnace.	LARRY:	   [@]
LARRY:	   [@]	... We'll not .. have to?
... We'll not .. have to?	SETH:	.. No uh,
SETH:	.. No uh,	.. do you want me to remove it.
.. do you want me to remove it.	LARRY:	Oh yes.
LARRY:	Oh yes.	SETH:	Okay.
SETH:	Okay.	LARRY:	.. Yeah.
LARRY:	.. Yeah.	SETH:	.. [@@]
SETH:	.. [@@]	LARRY:	   [No that's] --
LARRY:	   [No that's] --	that would be part of our deal.
that would be part of our deal.	.. Yeah.
.. Yeah.	SETH:	... Well y- the new furnace w- .. would be much smaller.
SETH:	... Well y- the new furnace w- .. would be much smaller.	... That much I can guarantee you.
... That much I can guarantee you.	LARRY:	... [Alright.
LARRY:	... [Alright.	SETH:	    [Do you- --
SETH:	    [Do you- --	LARRY:	X] --
LARRY:	X] --	SETH:	.. How many square] feet is the house.
SETH:	.. How many square] feet is the house.	LARRY:	... Uh=,
LARRY:	... Uh=,	well I guess it's around twenty-eight.
well I guess it's around twenty-eight.	... Approximately.
... Approximately.	SETH:	.. Okay.
SETH:	.. Okay.	LARRY:	... I have a roof guy coming about this time too,
LARRY:	... I have a roof guy coming about this time too,	so,
so,	SETH:	... You're [doing the roof]?
SETH:	... You're [doing the roof]?	LARRY:	           [doorbell] rings,
LARRY:	           [doorbell] rings,	.. we know who it is.
.. we know who it is.	SETH:	... Getting a new roof put on too?
SETH:	... Getting a new roof put on too?	>ENV:	((RADIO_BECOMES_AUDIBLE))
>ENV:	((RADIO_BECOMES_AUDIBLE))	LARRY:	Well I .. got some problems with ... leakage in certain areas,
LARRY:	Well I .. got some problems with ... leakage in certain areas,	and just gotta get it fixed,
and just gotta get it fixed,	before we get the rain again.
before we get the rain again.	... Alright,
... Alright,	well let's start in the kitchen.
well let's start in the kitchen.	... Okay this is (Hx) --
... Okay this is (Hx) --	... this is one right here.
... this is one right here.	... See,
... See,	I don't think you saw this one,
I don't think you saw this one,	but,
but,	SETH:	... I'm wondering if=,
SETH:	... I'm wondering if=,	.. you don't have a floor plan of the house,
.. you don't have a floor plan of the house,	do you by any chance?
do you by any chance?	LARRY:	.. No.
LARRY:	.. No.	... We [don't].
... We [don't].	SETH:	       [X]
SETH:	       [X]	LARRY:	@@
LARRY:	@@	(H) ... We didn't get anything when we bought this baby @.
(H) ... We didn't get anything when we bought this baby @.	SETH:	... I'm wondering if I should just sketch it out.
SETH:	... I'm wondering if I should just sketch it out.	LARRY:	... Uh=,
LARRY:	... Uh=,	SETH:	It's two-story though,
SETH:	It's two-story though,	right?
right?	LARRY:	.. Two-story,
LARRY:	.. Two-story,	SETH:	.. Th- --
SETH:	.. Th- --	Are there <X any X> registers on the second floor?
Are there <X any X> registers on the second floor?	LARRY:	Unhunh.
LARRY:	Unhunh.	SETH:	... Okay.
SETH:	... Okay.	LARRY:	So all those s=t- --
LARRY:	So all those s=t- --	.. all those s=tubs that were ... behind us,
.. all those s=tubs that were ... behind us,	are the ones that go up [through the] wall.
are the ones that go up [through the] wall.	SETH:	                        [Oh].
SETH:	                        [Oh].	.. Okay.
.. Okay.	LARRY:	... (H) (TSK)
LARRY:	... (H) (TSK)	SETH:	Well that's no [problem],
SETH:	Well that's no [problem],	LARRY:	               [Uh],
LARRY:	               [Uh],	SETH:	as long as I don't have to do (H) any ducting to the second floor.
SETH:	as long as I don't have to do (H) any ducting to the second floor.	LARRY:	yeah.
LARRY:	yeah.	.. No.
.. No.	.. <X They X> only --
.. <X They X> only --	the only thing that we wanted you to do is tie into the existing ones,
the only thing that we wanted you to do is tie into the existing ones,	SETH:	.. Okay.
SETH:	.. Okay.	LARRY:	.. which are on the ground level,
LARRY:	.. which are on the ground level,	SETH:	... How about that one right there.
SETH:	... How about that one right there.	Is that one?
Is that one?	LARRY:	... Uh,
LARRY:	... Uh,	yeah.
yeah.	.. That's one as well.
.. That's one as well.	... And then the return is .. back here.
... And then the return is .. back here.	SETH:	... Okay.
SETH:	... Okay.	.. Good sized return.
.. Good sized return.	LARRY:	.. Yeah.
LARRY:	.. Yeah.	SETH:	Now you're not looking at % .. adding air conditioning.
SETH:	Now you're not looking at % .. adding air conditioning.	.. Right?
.. Right?	LARRY:	Well,
LARRY:	Well,	... [we would] like to have that as an option.
... [we would] like to have that as an option.	SETH:	    [X]
SETH:	    [X]	.. [2Okay].
.. [2Okay].	LARRY:	   [2We could2] always add that later.
LARRY:	   [2We could2] always add that later.	Right?
Right?	SETH:	... Yeah.
SETH:	... Yeah.	One of the things you can do,
One of the things you can do,	if .. if you don't wanna do it now,
if .. if you don't wanna do it now,	... you can,
... you can,	.. what they call,
.. what they call,	.. prep for air conditioning.
.. prep for air conditioning.	You can put in the coil.
You can put in the coil.	... See you've [got the] furnace and the coil,
... See you've [got the] furnace and the coil,	LARRY:	               [<X Yeah X>].
LARRY:	               [<X Yeah X>].	SETH:	(H) and then,
SETH:	(H) and then,	... when you add air conditioning in the future,
... when you add air conditioning in the future,	... all you gotta do is put the outdoor condensing unit,
... all you gotta do is put the outdoor condensing unit,	... and refrigerant piping to that coil.
... and refrigerant piping to that coil.	... So it .. saves --
... So it .. saves --	.. it saves= additional work in the future.
.. it saves= additional work in the future.	LARRY:	... Mhm.
LARRY:	... Mhm.	SETH:	Otherwise you gotta come back and put the coil in,
SETH:	Otherwise you gotta come back and put the coil in,	which means you gotta modify the duct work,
which means you gotta modify the duct work,	to [get that] coil in there so,
to [get that] coil in there so,	LARRY:	   [Right].
LARRY:	   [Right].	SETH:	.. (H) if you're thinking about doing it in the future,
SETH:	.. (H) if you're thinking about doing it in the future,	you might wanna at least put the coil in.
you might wanna at least put the coil in.	It only .. costs about three-hundred fifty dollars for the coil.
It only .. costs about three-hundred fifty dollars for the coil.	LARRY:	Oh.
LARRY:	Oh.	.. Alright.
.. Alright.	SETH:	.. It's the it's the out[door air conditioning <X that X>] --
SETH:	.. It's the it's the out[door air conditioning <X that X>] --	LARRY:	                        [Well,
LARRY:	                        [Well,	.. write that in] there,
.. write that in] there,	anyway in the .. in the quote.
anyway in the .. in the quote.	SETH:	... (TSK) And now that's the .. the dining room you wanna add?
SETH:	... (TSK) And now that's the .. the dining room you wanna add?	LARRY:	Yeah.
LARRY:	Yeah.	If you --
If you --	if you go over and have a look at the dining room,
if you go over and have a look at the dining room,	SETH:	You got a lotta glass in that room it looks like.
SETH:	You got a lotta glass in that room it looks like.	LARRY:	yeah,
LARRY:	yeah,	.. and % we're gonna be making changes to the ... to the house too,
.. and % we're gonna be making changes to the ... to the house too,	so we're .. keeping that in mind.
so we're .. keeping that in mind.	But if you notice,
But if you notice,	there are no registers in here.
there are no registers in here.	... So,
... So,	SETH:	.. (H) Is this accessible?
SETH:	.. (H) Is this accessible?	LARRY:	... oh yeah].
LARRY:	... oh yeah].	SETH:	    [I wonder] --
SETH:	    [I wonder] --	I wonder if,
I wonder if,	.. [was this] added on you think,
.. [was this] added on you think,	LARRY:	   [(SNIFF)]
LARRY:	   [(SNIFF)]	SETH:	.. maybe?
SETH:	.. maybe?	... I'm just wondering if that [2foun2]dation wall &
... I'm just wondering if that [2foun2]dation wall &	LARRY:	                               [2M-2] --
LARRY:	                               [2M-2] --	... It might've been.
... It might've been.	SETH:	& goes to that,
SETH:	& goes to that,	.. I wonder if I can get .. into this.
.. I wonder if I can get .. into this.	LARRY:	Oh you can get into it.
LARRY:	Oh you can get into it.	Yeah.
Yeah.	SETH:	.. [Okay].
SETH:	.. [Okay].	LARRY:	   [Oh yeah].
LARRY:	   [Oh yeah].	I've been under here.
I've been under here.	SETH:	.. Oh okay.
SETH:	.. Oh okay.	.. [Good].
.. [Good].	LARRY:	   [So],
LARRY:	   [So],	this is not a problem.
this is not a problem.	SETH:	.. Shoot I'd probab[ly go] with two registers in this room.
SETH:	.. Shoot I'd probab[ly go] with two registers in this room.	LARRY:	                   [X] --
LARRY:	                   [X] --	.. Alright.
.. Alright.	[X] --
[X] --	SETH:	[I'd] probably go like [2one here2], 
SETH:	[I'd] probably go like [2one here2], 	LARRY:	                       [2<X Oh yeah X>2],
LARRY:	                       [2<X Oh yeah X>2],	SETH:	and one .. [3one there3].
SETH:	and one .. [3one there3].	LARRY:	           [3you'd do one3] over there as well?
LARRY:	           [3you'd do one3] over there as well?	SETH:	... Cause it's a good-sized room with a lot of glass.
SETH:	... Cause it's a good-sized room with a lot of glass.	LARRY:	... Okay.
LARRY:	... Okay.	SETH:	.. Or you could do it,
SETH:	.. Or you could do it,	... you know,
... you know,	you could put like one on this wall,
you could put like one on this wall,	and one on that wall.
and one on that wall.	LARRY:	.. Okay,
LARRY:	.. Okay,	on the two .. two out[side- --
on the two .. two out[side- --	SETH:	                     [And then I'd] probably tie em both together,
SETH:	                     [And then I'd] probably tie em both together,	LARRY:	Yeah].
LARRY:	Yeah].	SETH:	... into one Y-branch,
SETH:	... into one Y-branch,	.. you know like the room,
.. you know like the room,	LARRY:	... Mhm.
LARRY:	... Mhm.	SETH:	... the room is shaped somewhat like this.
SETH:	... the room is shaped somewhat like this.	... <X I could X> put like one there,
... <X I could X> put like one there,	... one there,
... one there,	LARRY:	Now what we'd want you to do,
LARRY:	Now what we'd want you to do,	in this case,
in this case,	is maybe --
is maybe --	SETH:	.. tie those together like that.
SETH:	.. tie those together like that.	LARRY:	.. See this this --
LARRY:	.. See this this --	The end of this room might be modified.
The end of this room might be modified.	... So,
... So,	... all we wanna know is,
... all we wanna know is,	... is that we can eventually be able to do this.
... is that we can eventually be able to do this.	... Alright.
... Alright.	... To to get % .. get this= ... duct work done,
... To to get % .. get this= ... duct work done,	when we do --
when we do --	when we do the modification to [the] --
when we do the modification to [the] --	SETH:	                               [Oh],
SETH:	                               [Oh],	so you may not do the duct work at this point?
so you may not do the duct work at this point?	LARRY:	[Not .. not in this room.
LARRY:	[Not .. not in this room.	SETH:	[X .. XX .. do it in the future].
SETH:	[X .. XX .. do it in the future].	LARRY:	We m-] --
LARRY:	We m-] --	.. Yeah.
.. Yeah.	.. [Uh I I hate] to see us do it,
.. [Uh I I hate] to see us do it,	SETH:	   [<X Where are gonna be your X>] --
SETH:	   [<X Where are gonna be your X>] --	LARRY:	(H) although if we do it in the [2sidewalls2],
LARRY:	(H) although if we do it in the [2sidewalls2],	SETH:	[2Well what would 2] the modification be.
SETH:	[2Well what would 2] the modification be.	LARRY:	... Oh we might take this out,
LARRY:	... Oh we might take this out,	.. and we might push this out further,
.. and we might push this out further,	and,
and,	.. uh,
.. uh,	.. well,
.. well,	here's the drawings,
here's the drawings,	right here.
right here.	... <0h=,                
... <0h=,                	... <P let's see=,
... <P let's see=,	.. that's the guest house.
.. that's the guest house.	... Where is that sucker P>%>.
... Where is that sucker P>%>.	SETH:	... Dining room?
SETH:	... Dining room?	LARRY:	... (TSK) (H) Yeah.
LARRY:	... (TSK) (H) Yeah.	.. Yeah,
.. Yeah,	I --
I --	It's right --
It's right --	i- --
i- --	.. here [it i- here it i-] here it is right here,
.. here [it i- here it i-] here it is right here,	SETH:	        [Is this the wall],
SETH:	        [Is this the wall],	LARRY:	you can see that --
LARRY:	you can see that --	(H) this is the current [wall],
(H) this is the current [wall],	SETH:	                        [oh] okay,
SETH:	                        [oh] okay,	so are you gonna go out [2like .. three feet or so2],
so are you gonna go out [2like .. three feet or so2],	LARRY:	                        [2So we might --
LARRY:	                        [2So we might --	.. we might2] --
.. we might2] --	.. we might %= .. [3do a little modification.
.. we might %= .. [3do a little modification.	SETH:	                  [3a tape- .. tapered uh .. corners3].
SETH:	                  [3a tape- .. tapered uh .. corners3].	LARRY:	.. A tapered3] corner there.
LARRY:	.. A tapered3] corner there.	(H) So we might do .. a little .. of that.
(H) So we might do .. a little .. of that.	SETH:	.. Okay.
SETH:	.. Okay.	LARRY:	But,
LARRY:	But,	.. if you're gonna ... put it in h- .. this end wall,
.. if you're gonna ... put it in h- .. this end wall,	then,
then,	.. maybe it wouldn't be affected.
.. maybe it wouldn't be affected.	... That one might down there.
... That one might down there.	.. Because,
.. Because,	we might uh,
we might uh,	SETH:	... [Yeah],
SETH:	... [Yeah],	LARRY:	    [XX]
LARRY:	    [XX]	SETH:	see well,
SETH:	see well,	LARRY:	.. (H) See [eventually <X we have s- X>] --
LARRY:	.. (H) See [eventually <X we have s- X>] --	SETH:	           [you know you're right.
SETH:	           [you know you're right.	.. Cause I] --
.. Cause I] --	.. cause we're looking at right there,
.. cause we're looking at right there,	... course,
... course,	.. now you gonna go out --
.. now you gonna go out --	LARRY:	.. That's right.
LARRY:	.. That's right.	See we're opening this,
See we're opening this,	SETH:	That's [gonna go that way].
SETH:	That's [gonna go that way].	LARRY:	       [that --
LARRY:	       [that --	.. <X it's X>] --
.. <X it's X>] --	.. that that that's going out to this master,
.. that that that's going out to this master,	.. which is gonna go up on the hill.
.. which is gonna go up on the hill.	SETH:	... Aw,
SETH:	... Aw,	so you'll need --
so you'll need --	.. What about .. heating for that.
.. What about .. heating for that.	LARRY:	.. Well,
LARRY:	.. Well,	.. what we're gonna do is put uh .. radiated heat.
.. what we're gonna do is put uh .. radiated heat.	SETH:	.. Okay.
SETH:	.. Okay.	LARRY:	In- in there.
LARRY:	In- in there.	SETH:	.. [That'll be a slab] floor then.
SETH:	.. [That'll be a slab] floor then.	LARRY:	   [For sure].
LARRY:	   [For sure].	Yeah,
Yeah,	yeah.
yeah.	.. (H) [Uh],
.. (H) [Uh],	SETH:	    [So that] one might change,
SETH:	    [So that] one might change,	LARRY:	... (H) [2Yeah2].
