LAURA:	... Look at this.	Isn't this pretty?
Isn't this pretty?	LISBETH:	.. %X.
LISBETH:	.. %X.	... [<X Li=me ..] crea=m X>.
... [<X Li=me ..] crea=m X>.	DON:	[What is that].
I've learned6],	RICHARD:	[7@Hm7].
RICHARD:	[7@Hm7].	LEANNE:	.. @@
LEANNE:	.. @@	LAURA:	[@@ .. @@@]
LAURA:	[@@ .. @@@]	LEANNE:	[She's like,
LEANNE:	[She's like,	(H) out] there.
(H) out] there.	[2You're2],
[2You're2],	BILL:	[2~Liz2],
BILL:	[2~Liz2],	LEANNE:	~Liz,
LEANNE:	~Liz,	BILL:	[Are you in this convers][2ation or not2].
BILL:	[Are you in this convers][2ation or not2].	LEANNE:	[You're <L2 outre mer L2].
LEANNE:	[You're <L2 outre mer L2].	LISBETH:	[2I hear it2].
LISBETH:	[2I hear it2].	LEANNE:	[2@@2]
LEANNE:	[2@@2]	LAURA:	[2@=2]
LAURA:	[2@=2]	LISBETH:	[3I hear3] [4it4].
LISBETH:	[3I hear3] [4it4].	LEANNE:	[3@@3]
LEANNE:	[3@@3]	BILL:	[4Hunh4].
BILL:	[4Hunh4].	.. You [5hear it5].
.. You [5hear it5].	LEANNE:	[5(H)5] You're <X uh duh[6= X>6].
LEANNE:	[5(H)5] You're <X uh duh[6= X>6].	BILL:	[6Oh6] I think,
BILL:	[6Oh6] I think,	LEANNE:	Mom?
LEANNE:	Mom?	DON:	.. Uh.
DON:	.. Uh.	LAURA:	Wait.
LAURA:	Wait.	My gla- --
My gla- --	I @have @m- --
I @have @m- --	@I @have --
@I @have --	I just go [without g]lasses on,
I just go [without g]lasses on,	LEANNE:	[@@]
LEANNE:	[@@]	I need XX --
I need XX --	LEANNE:	... Mom?
LEANNE:	... Mom?	LAURA:	.. What.
LAURA:	.. What.	LEANNE:	Here's the deal.
LEANNE:	Here's the deal.	... You guilt me,
... You guilt me,	... and in response,
... and in response,	I guilt you straight back.
I guilt you straight back.	LAURA:	@T- --
LAURA:	@T- --	.. In [response].
.. In [response].	LISBETH:	[% To guilt].
LISBETH:	[% To guilt].	.. That's now a verb.
.. That's now a verb.	[That's like] [2~Ta2][3=ra said today,
[That's like] [2~Ta2][3=ra said today,	BILL:	[It's a] [2new verb2].
BILL:	[It's a] [2new verb2].	DON:	[XX]
DON:	[XX]	[3To beguilt,
[3To beguilt,	to3] --
to3] --	LISBETH:	to w-3] --
LISBETH:	to w-3] --	LEANNE:	.. @(H)
LEANNE:	.. @(H)	LISBETH:	Uh,
LISBETH:	Uh,	LAURA:	.. <X Got X> --
LAURA:	.. <X Got X> --	LISBETH:	[I'll water you].
LISBETH:	[I'll water you].	LAURA:	[Said,
LAURA:	[Said,	I'll water] you.
I'll water] you.	LISBETH:	I'll water you.
LISBETH:	I'll water you.	LEANNE:	.. Cause,
LEANNE:	.. Cause,	.. she's gonna <X sprout you know X>.
.. she's gonna <X sprout you know X>.	But,
But,	like sometimes,
like sometimes,	what I'll say to you is,
what I'll say to you is,	you'll you'll start guilting me?
you'll you'll start guilting me?	... And what I'll do in response,
... And what I'll do in response,	is I'll say Mom,
is I'll say Mom,	you're guilting me.
you're guilting me.	... Whereupon [you immediately],
... Whereupon [you immediately],	LISBETH:	[Gilting.
LISBETH:	[Gilting.	That's putting a] little coat of go[2=ld on top isn't it2]?
That's putting a] little coat of go[2=ld on top isn't it2]?	BILL:	[2Gold.
BILL:	[2Gold.	Yeah that's right2].
Yeah that's right2].	That's [3right3].
That's [3right3].	DON:	[3Cor3][4rect4].
DON:	[3Cor3][4rect4].	LEANNE:	[3That's3] [4gil4]ting,
LEANNE:	[3That's3] [4gil4]ting,	not guilting.
not guilting.	DON:	<VOX @@ [@= VOX> (H)]
DON:	<VOX @@ [@= VOX> (H)]	LISBETH:	[Excuse me]?
LISBETH:	[Excuse me]?	LEANNE:	... ~Liz?
LEANNE:	... ~Liz?	... Sort of like .. airplane and,
... Sort of like .. airplane and,	... what's,
... what's,	oh plane and plain.
oh plane and plain.	That's it.
That's it.	... Um,
... Um,	.. Mom?
.. Mom?	LAURA:	Yes.
LAURA:	Yes.	LEANNE:	Oh and plain,
LEANNE:	Oh and plain,	... and plane.
... and plane.	LISBETH:	%Oh,
LISBETH:	%Oh,	maybe this [is it].
maybe this [is it].	LEANNE:	[Um],
LEANNE:	[Um],	... <X that thought X>,
... <X that thought X>,	whereupon,
whereupon,	you,
you,	like,
like,	...  develop .. guilt.
...  develop .. guilt.	LAURA:	... Well I think what ~Jennifer said .. is correct.
LAURA:	... Well I think what ~Jennifer said .. is correct.	% How do you separate ... responsibility ... from .. guilt.
% How do you separate ... responsibility ... from .. guilt.	BILL:	... Well if you have no feeling of responsibility,
BILL:	... Well if you have no feeling of responsibility,	no= amount of guilt will appear in [your head].
no= amount of guilt will appear in [your head].	LEANNE:	[@Exact]ly.
LEANNE:	[@Exact]ly.	LISBETH:	... Guilt,
LISBETH:	... Guilt,	.. in- in fact,
.. in- in fact,	.. the distinction between guilt and responsibility is,
.. the distinction between guilt and responsibility is,	you must fee=l that you have responsibility,
you must fee=l that you have responsibility,	(H) [that you have fai=led],
(H) [that you have fai=led],	BILL:	[In order to feel guilt].
BILL:	[In order to feel guilt].	LISBETH:	then you have --
LISBETH:	then you have --	X:	<X I agree X>.
X:	<X I agree X>.	BILL:	[It's a li][2ttle bit like s2][3=in and confession3].
BILL:	[It's a li][2ttle bit like s2][3=in and confession3].	LISBETH:	[guilt].
LISBETH:	[guilt].	LEANNE:	[2You have guilt2].
LEANNE:	[2You have guilt2].	JENN:	[3No but then,
JENN:	[3No but then,	somebody3],
somebody3],	but,
but,	but [that's],
but [that's],	BILL:	[Mhm].
BILL:	[Mhm].	LAURA:	[Mhm].
LAURA:	[Mhm].	LISBETH:	[2Can't have one without2] [3the other3].
LISBETH:	[2Can't have one without2] [3the other3].	JENN:	[2that's exactly,
JENN:	[2that's exactly,	that's2] [3exactly3] [4right.
that's2] [3exactly3] [4right.	LEANNE:	[3This thing is3] [4leaking4].
LEANNE:	[3This thing is3] [4leaking4].	JENN:	There4] ca=n be somebody who [5makes you feel like you ha5]=ve a responsibility,
JENN:	There4] ca=n be somebody who [5makes you feel like you ha5]=ve a responsibility,	LEANNE:	[5~Liz,
LEANNE:	[5~Liz,	this is <X moving X>5].
this is <X moving X>5].	JENN:	(H) In a case,
JENN:	(H) In a case,	(H) when that is not necess[arily clear].
(H) when that is not necess[arily clear].	LISBETH:	[<F Ah= F>].
LISBETH:	[<F Ah= F>].	So [2guilt2] is not the issue,
So [2guilt2] is not the issue,	LAURA:	[2Ah=2].
LAURA:	[2Ah=2].	LISBETH:	the issue is a denial of responsibility.
LISBETH:	the issue is a denial of responsibility.	JENN:	No no no,
JENN:	No no no,	no,
no,	you [totally turned what I said around].
you [totally turned what I said around].	LISBETH:	[<P XXX <X where I set those X>P>].
LISBETH:	[<P XXX <X where I set those X>P>].	JENN:	There's [2an ac2] --
JENN:	There's [2an ac2] --	RICHARD:	[2@@2]
RICHARD:	[2@@2]	JENN:	agent there,
JENN:	agent there,	who is making you feel responsible,
who is making you feel responsible,	for something that you are not responsible for.
for something that you are not responsible for.	BILL:	[<X Well how could X>] --
BILL:	[<X Well how could X>] --	LAURA:	[Then you don't] --
LAURA:	[Then you don't] --	LISBETH:	[.. Responsi][2bility is n=o=t --
LISBETH:	[.. Responsi][2bility is n=o=t --	LEANNE:	[2XXX to how you know you're responsible2].
LEANNE:	[2XXX to how you know you're responsible2].	LISBETH:	%(Hx) --
LISBETH:	%(Hx) --	is no=t an ob2]jective phenomena,
is no=t an ob2]jective phenomena,	~Jenn[3ifer3].
~Jenn[3ifer3].	JENN:	[3It i3]=s often when [4they have been defined.
JENN:	[3It i3]=s often when [4they have been defined.	LISBETH:	[4Unless you've signed a contract4].
LISBETH:	[4Unless you've signed a contract4].	JENN:	.. No4] when there have been defi=ned responsibility.
JENN:	.. No4] when there have been defi=ned responsibility.	BILL:	.. Right.
BILL:	.. Right.	[For exam-] --
[For exam-] --	LISBETH:	[Okay].
LISBETH:	[Okay].	In most human relationships,
In most human relationships,	there are no,
there are no,	.. defi=ned,
.. defi=ned,	written in in [in] --
written in in [in] --	JENN:	[Mono]=gamy is a good example.
JENN:	[Mono]=gamy is a good example.	RICHARD:	.. @(Hx)[2=2]
RICHARD:	.. @(Hx)[2=2]	JENN:	[2I=2][3n uh3] --
JENN:	[2I=2][3n uh3] --	BILL:	[3What what3] wha=t are we talking about [4now4].
BILL:	[3What what3] wha=t are we talking about [4now4].	RICHARD:	[4@@4]
RICHARD:	[4@@4]	JENN:	[5No,
JENN:	[5No,	BILL:	[5Monogamy.
BILL:	[5Monogamy.	JENN:	I'm just talking about5] --
JENN:	I'm just talking about5] --	BILL:	Why5] --
BILL:	Why5] --	JENN:	[6I'm trying to think about fami6][7ly,
JENN:	[6I'm trying to think about fami6][7ly,	LAURA:	[6@@@@ @(H)6]
LAURA:	[6@@@@ @(H)6]	BILL:	[7Trying to make me feel7] guilty?
BILL:	[7Trying to make me feel7] guilty?	JENN:	situations7].
JENN:	situations7].	RICHARD:	[8@(H) @@@8]
RICHARD:	[8@(H) @@@8]	LAURA:	[8@@@8]
LAURA:	[8@@@8]	BILL:	[9@@@@@@9]
BILL:	[9@@@@@@9]	JENN:	[9I'm tro- talking about family sit9]uations,
JENN:	[9I'm tro- talking about family sit9]uations,	LEANNE:	[@]
LEANNE:	[@]	JENN:	[I'm ta]lking about like set- --
JENN:	[I'm ta]lking about like set- --	.. Cleaning up after yourself.
.. Cleaning up after yourself.	Or doing things,
Or doing things,	that you have clea=rly defined,
that you have clea=rly defined,	as ru=les in this [house,
as ru=les in this [house,	LISBETH:	[That is correct].
LISBETH:	[That is correct].	JENN:	as you=r respon]sibility.
JENN:	as you=r respon]sibility.	LISBETH:	<VOX Oh excuse me VOX>?
LISBETH:	<VOX Oh excuse me VOX>?	LAURA:	.. [Is] [2that bad2]?
LAURA:	.. [Is] [2that bad2]?	JENN:	[As] --
JENN:	[As] --	LISBETH:	[2Whose re2][3sponsibility3]?
LISBETH:	[2Whose re2][3sponsibility3]?	JENN:	[3As --
JENN:	[3As --	.. No no3].
.. No no3].	As your,
As your,	our.
our.	RICHARD:	Wait I want [to go back to this mono][2=gamy thing2].
RICHARD:	Wait I want [to go back to this mono][2=gamy thing2].	JENN:	[The individual person].
JENN:	[The individual person].	LAURA:	[2@@@@2]
LAURA:	[2@@@@2]	RICHARD:	[3What is --
RICHARD:	[3What is --	BILL:	[3@=@@3][4=4]
BILL:	[3@=@@3][4=4]	RICHARD:	What is that3]?
RICHARD:	What is that3]?	LEANNE:	[4@4]
LEANNE:	[4@4]	MANY:	[5(LAUGHTER)5]
MANY:	[5(LAUGHTER)5]	JENN:	[5No,
JENN:	[5No,	I'm just trying- --
I'm just trying- --	I was just trying to think of examples,
I was just trying to think of examples,	of what are assu=med5],
of what are assu=med5],	LEANNE:	[6((APPLAUSE))6]
LEANNE:	[6((APPLAUSE))6]	JENN:	[6but never,
JENN:	[6but never,	assu=med,
assu=med,	but6] ne[7ver .. delineated7].
but6] ne[7ver .. delineated7].	LEANNE:	[7Good question7].
LEANNE:	[7Good question7].	LISBETH:	And therefore,
LISBETH:	And therefore,	if it's assumed and not delineated,
if it's assumed and not delineated,	.. does responsibility exist or not.
.. does responsibility exist or not.	JENN:	... It does.
JENN:	... It does.	LISBETH:	.. Ah.
LISBETH:	.. Ah.	Good.
Good.	So [we have --
So [we have --	LAURA:	[Wait wait.
LAURA:	[Wait wait.	I'm] losing --
I'm] losing --	LISBETH:	Except] --
LISBETH:	Except] --	LAURA:	I --
LAURA:	I --	RICHARD:	.. @
RICHARD:	.. @	LEANNE:	[Responsi][2bility2] --
LEANNE:	[Responsi][2bility2] --	LAURA:	[Assu=med] --
LAURA:	[Assu=med] --	RICHARD:	[2You2] lost half of us back [3XXX3].
RICHARD:	[2You2] lost half of us back [3XXX3].	MARY:	[3(H) @@@@3]
MARY:	[3(H) @@@@3]	LEANNE:	[3Responsibility3] can be either assumed .. or .. asked,
LEANNE:	[3Responsibility3] can be either assumed .. or .. asked,	like,
like,	LAURA:	Or[= expli][2cit2].
LAURA:	Or[= expli][2cit2].	LEANNE:	[certain].
LEANNE:	[certain].	LISBETH:	[2There seem2] to be three categories.
LISBETH:	[2There seem2] to be three categories.	... There's no responsibility,
... There's no responsibility,	LEANNE:	... [Assumed XXX],
LEANNE:	... [Assumed XXX],	LISBETH:	[there i=s] responsibility,
LISBETH:	[there i=s] responsibility,	but it's inarticulate.
but it's inarticulate.	.. Or it's articulate.
.. Or it's articulate.	JENN:	That's [right].
JENN:	That's [right].	LISBETH:	[Two] categories.
LISBETH:	[Two] categories.	Okay?
Okay?	JENN:	Right.
JENN:	Right.	LISBETH:	So now we got,
LISBETH:	So now we got,	[we're all together now]?
[we're all together now]?	JENN:	[And so when --
JENN:	[And so when --	When] [2there is2] --
When] [2there is2] --	LEANNE:	[2So wait2],
LEANNE:	[2So wait2],	[3can you have g3][4uilt for all4] [5three for5][6ms of responsibility6].
[3can you have g3][4uilt for all4] [5three for5][6ms of responsibility6].	LISBETH:	[3Should I get a black3][4board4]?
LISBETH:	[3Should I get a black3][4board4]?	RICHARD:	[4No=4].
RICHARD:	[4No=4].	LAURA:	[5@@5]
LAURA:	[5@@5]	JENN:	[6No,
JENN:	[6No,	and I'm saying-6],
and I'm saying-6],	and she [7said that,
and she [7said that,	RICHARD:	[7I'm still confu=7][8sed8].
RICHARD:	[7I'm still confu=7][8sed8].	JENN:	she's saying7],
JENN:	she's saying7],	LAURA:	[8@8][9@@9]
LAURA:	[8@8][9@@9]	JENN:	[8We're8] [9not talk9]ing about [guilt],
JENN:	[8We're8] [9not talk9]ing about [guilt],	LEANNE:	[He's still] confused [2about monogamy2].
LEANNE:	[He's still] confused [2about monogamy2].	RICHARD:	[2I'm sorry,
RICHARD:	[2I'm sorry,	I'm du2]=mb.
I'm du2]=mb.	LAURA:	[3@3][4@@4]
LAURA:	[3@3][4@@4]	MARY:	[4@@4][5@=5]
MARY:	[4@@4][5@=5]	DON:	[5<X I'm sorry X>5],
DON:	[5<X I'm sorry X>5],	JENN:	[5We're w5]e're not talking about --
JENN:	[5We're w5]e're not talking about --	She says,
She says,	g- oh,
g- oh,	we're not talking about guilt,
we're not talking about guilt,	we're talking about responsibility,
we're talking about responsibility,	and denial of responsibility,
and denial of responsibility,	and I said no.
and I said no.	We're talking about somebody who m=akes you feel responsible,
We're talking about somebody who m=akes you feel responsible,	for something that is not nece[ssarily always going on].
for something that is not nece[ssarily always going on].	LISBETH:	[And I said to her,
LISBETH:	[And I said to her,	how] do you know[2=,
how] do you know[2=,	LAURA:	[2What was this about2].
LAURA:	[2What was this about2].	LISBETH:	.. what your respon2]s- --
LISBETH:	.. what your respon2]s- --	... Her statement about,
... Her statement about,	we'll [walk back and] --
we'll [walk back and] --	JENN:	[Well I came] [2over here2],
JENN:	[Well I came] [2over here2],	LAURA:	[2@@@2]
LAURA:	[2@@@2]	JENN:	and she- --
JENN:	and she- --	<@ I said,
<@ I said,	[I looked at her] [2chocolate2],
[I looked at her] [2chocolate2],	LISBETH:	[<X I admit,
LISBETH:	[<X I admit,	I was making X>] [2XXX2].
I was making X>] [2XXX2].	LEANNE:	[2(H) We have2] [3to go back to where they were.
LEANNE:	[2(H) We have2] [3to go back to where they were.	JENN:	[3(H) I looked at her chocolate @>3],
JENN:	[3(H) I looked at her chocolate @>3],	LEANNE:	You3] can't just --
LEANNE:	You3] can't just --	LAURA:	[4<X Back to the setting X>4].
