CAM:	@@@ .. @@ (H)=	No=,
No=,	he doesn't --
.. I I've always had to go ba=ck and forth,	I've always traveled on my own,
I've always traveled on my own,	I've always flown everywhere by myself,
I've always flown everywhere by myself,	(H) .. uh,
(H) .. uh,	.. I've always done everything.
.. I've always done everything.	I've had to deal with my fa=ther,
I've had to deal with my fa=ther,	I- I'd listen to my sister,
I- I'd listen to my sister,	when my nephew .. (H) started college,
when my nephew .. (H) started college,	how she was saying,
how she was saying,	(H) she filled out all of his applications for where he was go=ing and,
(H) she filled out all of his applications for where he was go=ing and,	(H) she did all of these things when he had to apply for a scholarship or whatever,
(H) she did all of these things when he had to apply for a scholarship or whatever,	(H) she filled out everything,
(H) she filled out everything,	and I'm like,
and I'm like,	(H) .. (Hx)
(H) .. (Hx)	I did it by myse=lf,
I did it by myse=lf,	(H) you read the form,
(H) you read the form,	.. and you fill it out.
.. and you fill it out.	CAM:	.. [Wo=w],
CAM:	.. [Wo=w],	LAJUAN:	[No one] did it for me=,
LAJUAN:	[No one] did it for me=,	(H) .. you know,
(H) .. you know,	and I was very .. % much,
and I was very .. % much,	.. whatever I needed,
.. whatever I needed,	(H) I I got my money from my fa=ther,
(H) I I got my money from my fa=ther,	he paid for schoo=l,
he paid for schoo=l,	(H) but,
(H) but,	I did everything on my own.
I did everything on my own.	.. I I didn't ha=ve anyone.
.. I I didn't ha=ve anyone.	CAM:	(TSK) See my parents weren't very=,
CAM:	(TSK) See my parents weren't very=,	I [don't know].
I [don't know].	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	.. They're not .. extremely educated,
CAM:	.. They're not .. extremely educated,	and they're not,
and they're not,	.. really on top of things,
.. really on top of things,	(H) and so [when it] came to things like that,
(H) and so [when it] came to things like that,	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	they w=ouldn't know how to help me.
CAM:	they w=ouldn't know how to help me.	.. @= @[@@ (H)]
.. @= @[@@ (H)]	LAJUAN:	[Really],
LAJUAN:	[Really],	CAM:	Yeah,
CAM:	Yeah,	they wouldn't --
they wouldn't --	... I mean they had no clue,
... I mean they had no clue,	they didn't give me any suggestions of where to go to school,
they didn't give me any suggestions of where to go to school,	they said,
they said,	(H) oh yeah go to school,
(H) oh yeah go to school,	we'll pay for it.
we'll pay for it.	(H) We want you to go to school.
(H) We want you to go to school.	But they had no idea of,
But they had no idea of,	you know,
you know,	what's a good school,
what's a good school,	what's a bad school=,
what's a bad school=,	you know,
you know,	[any] type of di[2rection?
[any] type of di[2rection?	LAJUAN:	[(H)]
LAJUAN:	[(H)]	[2Se- --
[2Se- --	% % Yeah2],
% % Yeah2],	CAM:	They didn't give me anything like that2].
CAM:	They didn't give me anything like that2].	LAJUAN:	and see I f=eel [3that's3] one of the biggest setbacks,
LAJUAN:	and see I f=eel [3that's3] one of the biggest setbacks,	CAM:	[3(THROAT)3]
CAM:	[3(THROAT)3]	LAJUAN:	I I see this with (H) with bla=ck .. youths today,
LAJUAN:	I I see this with (H) with bla=ck .. youths today,	is that,
is that,	(H) .. becau=se your generations in the pa=st,
(H) .. becau=se your generations in the pa=st,	were not educated,
were not educated,	CAM:	.. [Mm=].
CAM:	.. [Mm=].	LAJUAN:	[(H)] you have a harder time deciding on what's a good school,
LAJUAN:	[(H)] you have a harder time deciding on what's a good school,	(H) what's a good curriculum for you to ta=ke,
(H) what's a good curriculum for you to ta=ke,	.. (H) your your parents aren't able to talk to you about it.
.. (H) your your parents aren't able to talk to you about it.	(H) W- just as you were saying,
(H) W- just as you were saying,	even though you're not black,
even though you're not black,	but you were just saying that,
but you were just saying that,	(H) but black children have that .. even more so.
(H) but black children have that .. even more so.	CAM:	Right.
CAM:	Right.	LAJUAN:	Because you har- --
LAJUAN:	Because you har- --	You're you're more likely .. not to be ha- come from educated parents.
You're you're more likely .. not to be ha- come from educated parents.	(H) Whereas I came from an educated family,
(H) Whereas I came from an educated family,	.. it was just the fact,
.. it was just the fact,	(H) .. they made us do everything on our ow=n.
(H) .. they made us do everything on our ow=n.	.. (H) [And],
.. (H) [And],	CAM:	[Mm].
CAM:	[Mm].	LAJUAN:	but,
LAJUAN:	but,	.. % .. black people also=,
.. % .. black people also=,	th- those that have more,
th- those that have more,	tried to teach you to be stro=nger.
tried to teach you to be stro=nger.	(H) But I think they instilled s- tried m- tried to make me so strong,
(H) But I think they instilled s- tried m- tried to make me so strong,	(H) that they forgo=t,
(H) that they forgo=t,	... that I was a person.
... that I was a person.	And I mean like,
And I mean like,	I I often feel like at times that,
I I often feel like at times that,	(H) .. (TSK) and maybe it's the gayness coming out in me but,
(H) .. (TSK) and maybe it's the gayness coming out in me but,	... (H) I don't like it,
... (H) I don't like it,	like and when I was ho=me,
like and when I was ho=me,	.. just went home to Indiana.
.. just went home to Indiana.	(H) I went to hug my sister,
(H) I went to hug my sister,	.. and I still feel that she finds a coldness in hugging.
.. and I still feel that she finds a coldness in hugging.	CAM:	... She doesn't like to hug.
CAM:	... She doesn't like to hug.	LAJUAN:	.. (H)= No.
LAJUAN:	.. (H)= No.	My family's not very much h=ugging.
My family's not very much h=ugging.	CAM:	.. Oh.
CAM:	.. Oh.	LAJUAN:	I mean,
LAJUAN:	I mean,	my whole life,
my whole life,	.. we've never been very,
.. we've never been very,	you greet someone,
you greet someone,	you don't s- hug them.
you don't s- hug them.	You're just like <VOX hi VOX>,
You're just like <VOX hi VOX>,	how are you,
how are you,	... and even like male female.
... and even like male female.	(H) You don't do it.
(H) You don't do it.	CAM:	... See uh my .. [my] mother was like that more so.
CAM:	... See uh my .. [my] mother was like that more so.	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	(H) And then my f=ather was .. d=ifferent.
CAM:	(H) And then my f=ather was .. d=ifferent.	LAJUAN:	.. Very emotional?
LAJUAN:	.. Very emotional?	[Very hugging]?
[Very hugging]?	CAM:	[Yeah],
CAM:	[Yeah],	very hugging,
very hugging,	they were just --
they were just --	(H) .. See my [family is] more,
(H) .. See my [family is] more,	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	it's it's different.
CAM:	it's it's different.	[It's like],
[It's like],	LAJUAN:	[Mm].
LAJUAN:	[Mm].	CAM:	%= each member of the family is s=lightly different,
CAM:	%= each member of the family is s=lightly different,	.. and different a- amount of .. touch.
.. and different a- amount of .. touch.	LAJUAN:	.. (H)= I always sai=d,
LAJUAN:	.. (H)= I always sai=d,	... that if I had children,
... that if I had children,	... I would always --
... I would always --	Especially if I had a son,
Especially if I had a son,	I would hug him,
I would hug him,	just so he knew that I loved him.
just so he knew that I loved him.	CAM:	Ri=ght.
CAM:	Ri=ght.	I think it's important,
I think it's important,	I think it's [good],
I think it's [good],	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	.. I don't think you can overly hug,
CAM:	.. I don't think you can overly hug,	(H) .. um,
(H) .. um,	.. with family and stuff like that.
.. with family and stuff like that.	LAJUAN:	Yeah.
LAJUAN:	Yeah.	See and that's how I feel,
See and that's how I feel,	is that,
is that,	(H) I want to hug him,
(H) I want to hug him,	because I want him to know that I do love him.
because I want him to know that I do love him.	CAM:	Mhm.
CAM:	Mhm.	LAJUAN:	And that,
LAJUAN:	And that,	.. I I I want my children,
.. I I I want my children,	.. if I if I ever ha=d children,
.. if I if I ever ha=d children,	(H) to know=,
(H) to know=,	(H) ... tha=t,
(H) ... tha=t,	there is nothing wro=ng with showing physical affection between two men.
there is nothing wro=ng with showing physical affection between two men.	It doesn't make you gay.
It doesn't make you gay.	CAM:	.. Right.
CAM:	.. Right.	LAJUAN:	.. You know,
LAJUAN:	.. You know,	and tha=t is one of the things that ~Scott was saying yesterday,
and tha=t is one of the things that ~Scott was saying yesterday,	it really bothered ~Scott a lot,
it really bothered ~Scott a lot,	because his nephew,
because his nephew,	(H) .. uh,
(H) .. uh,	.. kept calling him Aunt ~Sco=tt.
.. kept calling him Aunt ~Sco=tt.	... Because,
... Because,	and his nephew was just being rude and obnoxious about every gift,
and his nephew was just being rude and obnoxious about every gift,	(H) .. he he unwrapped,
(H) .. he he unwrapped,	and his brother said,
and his brother said,	(H) oh that's just the way kids are today,
(H) oh that's just the way kids are today,	and I'm like,
and I'm like,	(H) no that's the way you train your kids.
(H) no that's the way you train your kids.	.. (H) If you don't train your kids to be any better,
.. (H) If you don't train your kids to be any better,	... then they are,
... then they are,	and see and in ~Scott's family,
and see and in ~Scott's family,	like his brother,
like his brother,	his older brother'll say,
his older brother'll say,	oh ~Scott's my best friend.
oh ~Scott's my best friend.	(H) But he'll tease ~Scott about-,
(H) But he'll tease ~Scott about-,	oh why aren't you married.
oh why aren't you married.	You know,
You know,	you must be a fa=g.
you must be a fa=g.	Or this,
Or this,	(H) and he'll lau=gh it off,
(H) and he'll lau=gh it off,	(H) and he doesn't realize,
(H) and he doesn't realize,	well yeah ~Scott i=s gay,
well yeah ~Scott i=s gay,	(H) and it hurts ~Scott.
(H) and it hurts ~Scott.	CAM:	.. He doe=sn't know that he's gay?
CAM:	.. He doe=sn't know that he's gay?	LAJUAN:	.. (THROAT) Hm-mm.
LAJUAN:	.. (THROAT) Hm-mm.	CAM:	.. (THROAT)
CAM:	.. (THROAT)	LAJUAN:	.. Has no idea.
LAJUAN:	.. Has no idea.	.. He's probably he's gonna drop him off,
.. He's probably he's gonna drop him off,	which is why I have to close those blinds soon.
which is why I have to close those blinds soon.	(H)= .. Bu=t uh,
(H)= .. Bu=t uh,	@(Hx) @@@ @(H)
@(Hx) @@@ @(H)	.. it it's the way ... he is=.
.. it it's the way ... he is=.	And his brother is just like that.
And his brother is just like that.	.. And so=,
.. And so=,	.. he=,
.. he=,	... and h- and so his little boy is growing up the same way.
... and h- and so his little boy is growing up the same way.	~Larry's twelve.
~Larry's twelve.	.. (H) And he='s like this big kid,
.. (H) And he='s like this big kid,	cause he's overweight.
cause he's overweight.	And I told ~Scott I said well ~Scott,
And I told ~Scott I said well ~Scott,	(H) I wouldn't take it personal,
(H) I wouldn't take it personal,	cause ~Scott was telling me this morning,
cause ~Scott was telling me this morning,	I said,
I said,	(H) first of all,
(H) first of all,	.. ~Larry's twelve years old,
.. ~Larry's twelve years old,	.. he's like six foot one,
.. he's like six foot one,	and he's fat.
and he's fat.	.. I mean,
.. I mean,	he's just .. probably a good two hundred fifty [pounds I said],
he's just .. probably a good two hundred fifty [pounds I said],	CAM:	[He's six] one?
CAM:	[He's six] one?	... At twelve?
... At twelve?	LAJUAN:	... At twelve years [old].
LAJUAN:	... At twelve years [old].	CAM:	[Oh that's] scary.
CAM:	[Oh that's] scary.	LAJUAN:	.. And he's like two hundred and fifty pounds.
LAJUAN:	.. And he's like two hundred and fifty pounds.	(H) And I said ~Scott he's compensating,
(H) And I said ~Scott he's compensating,	(H) for the fact,
(H) for the fact,	I said I bet you the kids pick on him,
I said I bet you the kids pick on him,	I said he's different.
I said he's different.	(H) I said so therefore=,
(H) I said so therefore=,	.. (H) he probably is a big bully at school.
.. (H) he probably is a big bully at school.	.. And I said,
.. And I said,	so he's probably just like this kid who's just like,
so he's probably just like this kid who's just like,	.. (H) rea=l .. (H) bitter,
.. (H) rea=l .. (H) bitter,	(H) because nobody --
(H) because nobody --	And I said his dad is just an .. a a jerk,
And I said his dad is just an .. a a jerk,	~Scott's brother,
~Scott's brother,	(H) .. will call our hou=se,
(H) .. will call our hou=se,	and just,
and just,	.. is just .. rude to ~Scott,
.. is just .. rude to ~Scott,	.. (H) But yet he'll turn around and ask ~Scott to borrow five thousand dollars.
.. (H) But yet he'll turn around and ask ~Scott to borrow five thousand dollars.	... I mean like he just borrowed twenty-five thousand dollars from ~Scott,
... I mean like he just borrowed twenty-five thousand dollars from ~Scott,	(H) .. like two years ago,
(H) .. like two years ago,	and told ~Scott,
and told ~Scott,	oh I'll give it back,
oh I'll give it back,	I'm gonna invest it and I'll give it back in three months.
I'm gonna invest it and I'll give it back in three months.	(H) So,
(H) So,	he gives ~Scott --
he gives ~Scott --	.. It takes him instead,
.. It takes him instead,	a year and a half to pay ~Scott back.
a year and a half to pay ~Scott back.	(H) Like w- .. ~Scott's got twenty-five thousand dollars just to lay around.
(H) Like w- .. ~Scott's got twenty-five thousand dollars just to lay around.	.. Like that.
.. Like that.	.. You know and,
.. You know and,	(H) .. that's the way his brother is.
(H) .. that's the way his brother is.	.. You know very,
.. You know very,	... and he's just,
... and he's just,	.. he's just mea=n to ~Scott.
.. he's just mea=n to ~Scott.	He says things to ~Scott,
He says things to ~Scott,	(H) .. just like,
(H) .. just like,	... oh= just awful things about [gay= and].
... oh= just awful things about [gay= and].	CAM:	[Well,
CAM:	[Well,	.. why does]n't .. ~Scott say something.
.. why does]n't .. ~Scott say something.	LAJUAN:	.. (TSK) (H) Because,
LAJUAN:	.. (TSK) (H) Because,	.. ~Scott hasn't dealt with his gayness himself,
.. ~Scott hasn't dealt with his gayness himself,	and he hasn't dealt with,
and he hasn't dealt with,	... who he is.
... who he is.	CAM:	Mm.
CAM:	Mm.	LAJUAN:	... And that's why he doesn't say anything.
LAJUAN:	... And that's why he doesn't say anything.	CAM:	... So you can't really blame the guy in [the sense] that,
CAM:	... So you can't really blame the guy in [the sense] that,	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	he doesn't [2know he's hurting him2]?
CAM:	he doesn't [2know he's hurting him2]?	LAJUAN:	[2(H) If ~Scott2] doesn't stick up for himself,
LAJUAN:	[2(H) If ~Scott2] doesn't stick up for himself,	CAM:	Right.
CAM:	Right.	LAJUAN:	(H) And I [keep tell]ing ~Scott,
LAJUAN:	(H) And I [keep tell]ing ~Scott,	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	you're gonna have to say something.
LAJUAN:	you're gonna have to say something.	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	[(H)] Because all of these things are hurting you.
LAJUAN:	[(H)] Because all of these things are hurting you.	CAM:	... [2<VOX Yeah=2] VOX>.
CAM:	... [2<VOX Yeah=2] VOX>.	LAJUAN:	[2And ~Scott2]'s like oh it doesn't bother me,
LAJUAN:	[2And ~Scott2]'s like oh it doesn't bother me,	and I'm like then why are you talking about it.
and I'm like then why are you talking about it.	... I said i- if that would have been my nephew,
... I said i- if that would have been my nephew,	and he would have said that to me,
and he would have said that to me,	I'd've knocked him across that chair,
I'd've knocked him across that chair,	I don't care how [big he was.
I don't care how [big he was.	CAM:	[<VOX @@@@@@@ VOX>
CAM:	[<VOX @@@@@@@ VOX>	LAJUAN:	(H) @%= @@@ (H) %]
LAJUAN:	(H) @%= @@@ (H) %]	CAM:	Oh yeah=].
CAM:	Oh yeah=].	LAJUAN:	% I said my nephews d- --
LAJUAN:	% I said my nephews d- --	My nephews and nieces do no=t,
My nephews and nieces do no=t,	(H) one of the little gi[=rls],
(H) one of the little gi[=rls],	CAM:	[(THROAT)]
CAM:	[(THROAT)]	LAJUAN:	f- uh,
LAJUAN:	f- uh,	tried pulling something on --
tried pulling something on --	.. We went shopping,
.. We went shopping,	(H) and tried the little attitude in the in the mall.
(H) and tried the little attitude in the in the mall.	(H) And I grabbed her and I said,
(H) And I grabbed her and I said,	I don't care if you are my sister's child,
I don't care if you are my sister's child,	(H) .. I will knock you across that bench,
(H) .. I will knock you across that bench,	<HI in a [sec]ond HI>.
<HI in a [sec]ond HI>.	CAM:	[@]
CAM:	[@]	LAJUAN:	I said [2I don't have to2] take that.
LAJUAN:	I said [2I don't have to2] take that.	CAM:	[2@@@2]
CAM:	[2@@@2]	LAJUAN:	<X @I just it's X> --
LAJUAN:	<X @I just it's X> --	You will never go shopping with me again.
You will never go shopping with me again.	CAM:	.. @@@@@@[@]
CAM:	.. @@@@@@[@]	LAJUAN:	[Um],
LAJUAN:	[Um],	I just don't believe in it,
I just don't believe in it,	and I I I'm sorry,
and I I I'm sorry,	I was not hit as a child,
I was not hit as a child,	but I also was n=ot nasty,
but I also was n=ot nasty,	like some kids now?
like some kids now?	(H) He's right.
(H) He's right.	.. They do talk <X bad X>.
.. They do talk <X bad X>.	Some of the kids say things,
Some of the kids say things,	but kids always do,
but kids always do,	bu=t,
bu=t,	(H) that's [not an] excu=se.
(H) that's [not an] excu=se.	>ENV:	[((PHONE_BEEPS))]
>ENV:	[((PHONE_BEEPS))]	CAM:	Exactly.
CAM:	Exactly.	LAJUAN:	.. [(THROAT)]
LAJUAN:	.. [(THROAT)]	>ENV:	[((PHONE_BEEP))]
>ENV:	[((PHONE_BEEP))]	LAJUAN:	... Hello?
LAJUAN:	... Hello?	... Hello=?
... Hello=?	... What's wro=ng.
... What's wro=ng.	CAM:	... <P It's ~Jimmy P>.
CAM:	... <P It's ~Jimmy P>.	LAJUAN:	... <SM %Why.
LAJUAN:	... <SM %Why.	.. (H)
.. (H)	... Why?
... Why?	(H) SM>
(H) SM>	... @(Hx)=
... @(Hx)=	... @% @% (H)= .. Okay,
... @% @% (H)= .. Okay,	... (H) alright.
... (H) alright.	Wel- --
Wel- --	.. Yeah.
.. Yeah.	... If you don't have enough gas and you're worried,
... If you don't have enough gas and you're worried,	that you're gonna run out,
that you're gonna run out,	I wouldn't go anywhere <% ei=ther %>.
I wouldn't go anywhere <% ei=ther %>.	... (TSK) So why don't you call- --
... (TSK) So why don't you call- --	I'll call you later on.
I'll call you later on.	Okay?
Okay?	.. (H) Bye.
.. (H) Bye.	>ENV:	.. ((PHONE_BEEP))
>ENV:	.. ((PHONE_BEEP))	LAJUAN:	(H) .. He's afraid that he's gonna run out of gas getting over here.
LAJUAN:	(H) .. He's afraid that he's gonna run out of gas getting over here.	CAM:	Well why doesn't he get ga=s.
CAM:	Well why doesn't he get ga=s.	LAJUAN:	(H) I don't know,
LAJUAN:	(H) I don't know,	he drove all the way back from Green Bay with,
he drove all the way back from Green Bay with,	.. just on that.
.. just on that.	And he thought he was %gonna,
And he thought he was %gonna,	%like,
%like,	.. make it,
.. make it,	and somebody would be open,
and somebody would be open,	and I'm like,
and I'm like,	... (H) so he said he's like,
... (H) so he said he's like,	it's- --
it's- --	He said it's like past empty,
He said it's like past empty,	it's past the E=,
it's past the E=,	.. (H) and so he's afrai=d,
.. (H) and so he's afrai=d,	(H) .. that he'll run out on his way over here-,
(H) .. that he'll run out on his way over here-,	and he probably would.
and he probably would.	CAM:	... Oh=.
CAM:	... Oh=.	.. Well he should just,
.. Well he should just,	.. [go to a gas] station.
.. [go to a gas] station.	LAJUAN:	[So he said he'll] --
LAJUAN:	[So he said he'll] --	.. (H) Well there's one down the street from his house,
.. (H) Well there's one down the street from his house,	but it'll probably be open tomorrow morning.
but it'll probably be open tomorrow morning.	CAM:	.. Oh.
CAM:	.. Oh.	LAJUAN:	It's not open now.
LAJUAN:	It's not open now.	So he said he'd just rather stay home.
So he said he'd just rather stay home.	... Instead,
... Instead,	and I said fi=ne,
and I said fi=ne,	go ahead and stay home.
go ahead and stay home.	CAM:	@ @ [@@]
CAM:	@ @ [@@]	LAJUAN:	[(H)=] But I don't know,
LAJUAN:	[(H)=] But I don't know,	I I really think that,
I I really think that,	it [it's] hard,
it [it's] hard,	CAM:	[(SNIFF)]
CAM:	[(SNIFF)]	LAJUAN:	.. it's hard,
LAJUAN:	.. it's hard,	.. it's it is hard having,
.. it's it is hard having,	... to hi=de this like ~Scott's doing,
... to hi=de this like ~Scott's doing,	I couldn't hide it any longer <X than he has X>,
I couldn't hide it any longer <X than he has X>,	... he's hiding it way too long.
... he's hiding it way too long.	CAM:	.. Yea=h.
CAM:	.. Yea=h.	LAJUAN:	.. [(THROAT)]
LAJUAN:	.. [(THROAT)]	CAM:	[No I] couldn't hide it that long either.
CAM:	[No I] couldn't hide it that long either.	... I told my mother when I had like,
... I told my mother when I had like,	... my .. boyfriend moved away.
... my .. boyfriend moved away.	... (TSK) [She s-] --
... (TSK) [She s-] --	LAJUAN:	[Is that why] you told her?
LAJUAN:	[Is that why] you told her?	CAM:	.. Mm.
CAM:	.. Mm.	.. Cause I was really upset.
.. Cause I was really upset.	.. (H) And then I s- --
.. (H) And then I s- --	.. An=d then she's like,
.. An=d then she's like,	well it's a good thing he moved away,
well it's a good thing he moved away,	cause he was sort of .. effeminate,
cause he was sort of .. effeminate,	... @ and I was really offended.
... @ and I was really offended.	LAJUAN:	.. That's how she took it?
LAJUAN:	.. That's how she took it?	CAM:	.. Yea=h.
CAM:	.. Yea=h.	.. And I was really offended,
.. And I was really offended,	cause [she said] something like,
cause [she said] something like,	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	well it's a good thing,
CAM:	well it's a good thing,	he was sort of weird,
he was sort of weird,	I didn't like you hanging around him.
I didn't like you hanging around him.	... And I said <VOX what do you mean he was weird VOX>.
... And I said <VOX what do you mean he was weird VOX>.	.. And she said he was sort of effeminate.
.. And she said he was sort of effeminate.	.. And I was like,
.. And I was like,	well what do you mean,
well what do you mean,	he's gay= or something,
he's gay= or something,	she's like well I think he might have been.
she's like well I think he might have been.	... And I said well= %,
... And I said well= %,	... why,
... why,	does that bother you?
does that bother you?	I said because I am.
I said because I am.	.. And she's like,
.. And she's like,	... no=.
... no=.	You're not.
You're not.	I know you.
I know you.	You're not gay.
You're not gay.	.. @(Hx)[=]
.. @(Hx)[=]	LAJUAN:	[(H)]
LAJUAN:	[(H)]	CAM:	(H) And I said,
CAM:	(H) And I said,	(H) .. yes I am.
(H) .. yes I am.	.. I said,
.. I said,	... how do you know me=,
... how do you know me=,	better than I know @myself=.
better than I know @myself=.	@@@@@
@@@@@	(H)= <@ And she's just @> looking at me,
(H)= <@ And she's just @> looking at me,	and she was like really upset.
and she was like really upset.	.. (H) @(Hx)=
.. (H) @(Hx)=	LAJUAN:	Did she tell your dad or did you tell your dad.
LAJUAN:	Did she tell your dad or did you tell your dad.	CAM:	(TSK) No,
CAM:	(TSK) No,	... she ended up telling him I think eventually,
... she ended up telling him I think eventually,	but not right away.
but not right away.	.. (H) First thing I had [to go to] see %a= a psychiatrist.
.. (H) First thing I had [to go to] see %a= a psychiatrist.	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	.. (TSK) Oh she made you go do that.
.. (TSK) Oh she made you go do that.	CAM:	Mhm,
CAM:	Mhm,	.. I went,
.. I went,	LAJUAN:	... Oh ~Jim's mother told him that too.
LAJUAN:	... Oh ~Jim's mother told him that too.	CAM:	.. (TSK) See and then I went,
CAM:	.. (TSK) See and then I went,	.. and the guy='s like really nice,
.. and the guy='s like really nice,	and [he's like] well what what's why are you here,
and [he's like] well what what's why are you here,	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	CAM:	.. tell me what's .. what's going on.
CAM:	.. tell me what's .. what's going on.	.. (H) And I said [well=],
.. (H) And I said [well=],	LAJUAN:	[How old] were you at this time.
LAJUAN:	[How old] were you at this time.	CAM:	.. (TSK) (H) .. Nineteen,
CAM:	.. (TSK) (H) .. Nineteen,	LAJUAN:	.. And she <X said that's for the X> psychiatrist at nineteen?
LAJUAN:	.. And she <X said that's for the X> psychiatrist at nineteen?	She didn't think you knew=,
She didn't think you knew=,	.. enough about yourself at that age?
.. enough about yourself at that age?	CAM:	.. Right.
CAM:	.. Right.	.. Well,
.. Well,	she didn't wa=nt to believe it,
she didn't wa=nt to believe it,	[you know],
[you know],	LAJUAN:	[(THROAT)]
LAJUAN:	[(THROAT)]	[2Yeah2],
[2Yeah2],	CAM:	[2I guess2] you can't blame em,
CAM:	[2I guess2] you can't blame em,	some .. to some extent.
some .. to some extent.	.. (H) So then I= went to the psychiatrist and,
.. (H) So then I= went to the psychiatrist and,	(H) he's like well what's the problem,
(H) he's like well what's the problem,	and I said,
and I said,	well,
well,	.. (TSK) my mother's upset because I'm gay.
.. (TSK) my mother's upset because I'm gay.	@= @@@@
@= @@@@	(H) And he's like,
(H) And he's like,	well it sounds like she has a problem @then,
well it sounds like she has a problem @then,	@= @@[@@@@@@ (H)
@= @@[@@@@@@ (H)	LAJUAN:	[@@@= (H)=
LAJUAN:	[@@@= (H)=	Did he really say that]?
Did he really say that]?	CAM:	<VOX Ye]=s VOX>.
CAM:	<VOX Ye]=s VOX>.	He said it sounds like that- she's the one with the problem.
