Transcript Name	TimeMark Ut_1	TimeMark Ut_2	Ut_1	Index_1	Edge(s)_1	Ut_2	Index_2	Edge(s)_2	Overlap Type
SBC056.trn	122.634 124.002, 124.202 124.987	123.780 124.331, 124.331 126.359	[3=. .. That's great3].	106	[106 to 105, Acknowledge]	[3Yes. she goes through3] running water this deep.	107	[107 to 105, GivingDetails] [107 to 106, Acknowledge]	progressional
SBC056.trn	126.359 127.165, 127.165 129.362	127.013 127.904	Happily n[4ow. (H)=4]	107	[107 to 105, GivingDetails]	[4That's great4].	108	[108 to 107, Acknowledge]	transitional
SBC056.trn	132.082 133.628	132.200 133.353, 133.353 134.783	.. [@@@ @X (H)]	114		[(H) And, now] you don't even have to ask.	115	[115 to 113, Conjunction]	other
SBC056.trn	134.783 135.544	134.991 135.878	That[2's great2].	116	[116 to 115, Acknowledge]	[2She just g2]oes.	117	[117 to 115, Contrast]	transitional
SBC056.trn	145.639 148.204	146.615 147.254, 147.254 148.204 	... We just .. [load the horses in a trailer <X home X>].	126	[126 to 125, GivingDetails]	[Alright. .. That's neat].	127	[127 to 125, Acknowledge]	recognitional
SBC056.trn	157.495 158.531	157.625 157.901	[Or=] Santa Barbara.	135	[135 to 134, Restatement, Incomplete]	[Mm].	136	[136 to 134, Acknowledge]	recognitional
SBC056.trn	158.531 160.365	160.157 160.847	... University of California Santa Barba[2ra2].	137	[137 to 134, Restatement]	[2And2] .. what's his name?	138	[138 to 138 QuestionInfoRequest]	transitional
SBC056.trn	162.537 162.802	162.671 163.021	Ye[ah].	141	[141 to 140, Answer]	[O]kay.	142	[142 to 141, Acknowledge]	transitional
SBC056.trn	164.273 167.091	164.711 165.613	[he he he's back] on the= airplane tomorrow morning.	144	[144 to 143, Conjunction, Expanding]	[I'm bad on names].	145	[145 to 145, Statement]	recognitional
SBC056.trn	167.091 168.641	167.327 167.973	so [2we were .. driving2] around and,	146	[146 to 146, Statement]	[2Oh wow2].	147	[147 to 146, Acknowledge] [147 to 147, Exclamation]	recognitional
SBC056.trn	170.296 172.996, 172.996 174.161	170.371 173.511	.. [(H)= .. Took him over to Garden of the Gods, and it was hail]ing on us,	149	[149 to 148, After]	[((PAPER_CUTTING))]	150		other
SBC006.trn	0.00 2.29	1.69 2.19	[Disgusting].	1	[1 to 1, Statement]	[(TSK) Well you know],	2	[2 to 2, Incomplete]	transitional
SBC006.trn	52.09 52.93	52.81 52.93	that isn't there any[more],	58	[58 to 57, CausedBy]	[<WH @@@ WH>]	59		other
SBC006.trn	53.21 54.36, 54.48 55.43	53.83 54.48, 54.48 54.83, 54.83 55.43	.. So he never got his [radio. (H)=]	61	[61 to 57, CausedBy]	[It's really hard. <WH Oh. Shit WH>].	62	[62 to 57, Answer] [62 to 62, Exclamation]	transitional
SBC006.trn	55.43 56.97	56.30 56.60 	So he got another radi[2o this2] summer,	63	[63 to 61, CausedBy]	[2(H)=2]	64		other
SBC006.trn	59.23 60.48	59.88 61.39	(Hx[=])	66		[He's <X having X>]	67	[67 to 65, Sympathy, Acknowledge]	other
SBC013.trn	0.00 1.24	0.45 1.24	Is that just [carbonated water]?	1	[1 to 1, OpenQuestion]	No thank you].	2	[2 to 0, Reject]	recognitional
SBC013.trn	1.24 1.50, 1.50 2.36	1.24 3.38	[2No, It's cream soda2].	3	[3 to 1, Answer]	[2(H) No this is2] crea=m [3soda.	4	[4 to 1, Answer] [4 to 4, Opinion]	progressional
SBC013.trn	1.24 3.38, 3.38 4.01	2.96 3.64	[3soda. The3] best.	4	[4 to 1, Answer] [4 to 4, Opinion]	  [3Oh= boy=3].	5	[5 tt 5, Exclamation]	recognitional
SBC013.trn	5.17 5.86	5.44 6.74	I'm s[ure=].	7	[7 to 4, Acknowledge]	[Does it look] like cream soda?	8	[8 to 8, RhetoricalQuestion]	transitional
SBC013.trn	10.14 12.74	12.24 13.14	.. Only the Sam's Club cans .. get so [warped].	11	[11 to 10, Expanding]	[(H)]=	12		other
SBC013.trn	10.14 12.74	13.14 14.58	.. Only the Sam's Club cans .. get so [warped].	11	[11 to 10, Expanding]	(H) % [I think you should] [3write3] --	13	[13 to 13, Statement, Opinion]	transitional
SBC013.trn	12.24 13.14	13.14 14.58	[(H)]=	12		(H) % [I think you should] [3write3] --	13	[13 to 13, Statement, Opinion]	other
SBC013.trn	13.14 14.58	13.86 14.58	(H) % [I think you should] [3write3] --	13	[13 to 13, Statement, Opinion]	[<X Cause they're X>] [3X3] --	14	[14 to 14, Incomplete]	recognitional
SBC013.trn	13.86 14.58	14.26 15.33	[<X Cause they're X>] [3X3]	14	[14 to 14, Incomplete]	 [3Cause they're3] [4cheap ca=ns,	15	[15 to 11, Causing]	recognitional
SBC013.trn	13.14 14.58	14.26 15.33	(H) % [I think you should] [3write3] --	13	[13 to 13, Statement, Opinion]	[3Cause they're3] [4cheap ca=ns,	15	[15 to 11, Causing]	recognitional
SBC013.trn	14.26 15.33, 15.33 15.93	14.58 16.03	[3Cause they're3] [4cheap ca=ns, that's why4] --	15	[15 to 11, Causing]	 [4%Just .. %= write a letter to em4],	16	[16 to 13, Restatement]	recognitional
SBC013.trn	20.33 21.40	20.71 21.11	This stuff [is] g=ood.	20	[20 to 20, Statement]	[((POP-TOP))]	21		other
SBC013.trn	25.55 26.42	26.18 28.03	.. Remember that [white] --	25	[25 to 25, Statement, OpenQuestion]	[(H) They] only make that .. with Nutrasweet though,	26	[26 to 22, Answer, Acknowledge]	recognitional
SBC013.trn	31.78 32.33 	32.05 32.60	I don't [know].	31	[31 to 30, Answer]	[(THROAT)]=	32		other
SBC013.trn	36.20 37.00	36.20 38.65	[it's all] [2with2] --	35	[35 to 35, Incomplete]	[But they don't] [2make2] this kind at a=ll [3any3]more.	36	[36 to 33, Contrast]	recognitional
SBC013.trn	36.20 37.00	36.72 37.02	[it's all] [2with2] --	35	[35 to 35, Incomplete]	[2(Hx)2]	37		other
SBC013.trn	36.20 38.65	36.72 37.02	[But they don't] [2make2] this kind at a=ll [3any3]more.	36	[36 to 33, Contrast]	 [2(Hx)2]	37		other
SBC013.trn	36.20 38.65	37.89 38.27	[But they don't] [2make2] this kind at a=ll [3any3]more.	36	[36 to 33, Contrast]	[3(SNIFF)3]	38		other
SBC013.trn	38.65 39.09	38.65 39.47	[4(THROAT)4]	39		[4.. Oh they4] don't?	40	[40 to 36, Acknowledge] [40 to 40, OpenQuestion]	other
SBC023.trn	9.528 13.616	9.897 10.727	... This [was the be]gin[2ning o=f the2]= uh= change.	6	[6 to 5, MotivatedBy]	 [Mhm].	7	[7 to 5, Acknowledge, Answer]	recognitional
SBC023.trn	9.528 13.616	10.727 11.960	... This [was the be]gin[2ning o=f the2]= uh= change.	6	[6 to 5, MotivatedBy]	[2<P XXXXX X P>2]	8		other
SBC023.trn	16.352 17.028	16.352 17.630	... car[riages],	12	[12 to 6, Instantiating]	[auto]mobile=s,	13	[13 to 6, Instantiating] [13 to 5, Restatement] 	transitional
SBC023.trn	21.546 23.327	21.550 22.227	... [(TSK) (H)] I think Margaret though,	17	[17 to 17, Statement, Incomplete] 	[Mhm].	18	[18 to 17, Acknowledge] 	other
SBC023.trn	30.460 31.375	30.624 31.947	.. @@[@@]	23		[there is] no doubt.	24	[24 to 22, Evaluating] 	other
SBC023.trn	35.198 36.251	35.656 36.251	but he is[n't],	27	[27 to 26, Contrast]	 [Hm].	28	[28 to 27, Acknowledge]	recognitional
SBC023.trn	36.251 38.924	36.645 37.210	H) And there would [2never2] be= a Jacky Bast.	29	[29 to 29, Statement]	[2(SNIFF)2]	30		other
SBC023.trn	47.441 48.063	47.441 49.354	[Mhm].	35	[35 to 34, Acknowledge]	[(H) Was so] other worldly,	36	[36 to 34, Expanding]	transitional
SBC023.trn	49.354 50.048	49.354 49.857	[2and everything2] else,	37	[37 to 36, Conjunction]	[2mhm2].	38	[38 to 36, Acknowledge]	recognitional
SBC023.trn	51.675 53.229	52.177        52.835	.. as to what [was going] on.	40	[40 to 39, Expanding]	[Mhm].	41	[41 to 40, Acknowledge]	recognitional
SBC023.trn	64.650 64.925	64.650 65.894	Mh[m].	52	[52 to 50, Accept, Acknowledge]	[and she] didn't care,	53	[53 to 50, CollaborativeCompletion]	transitional
